순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,박찬호,KIA,유격수,86,737.1,1.255,13.59
2,김태군,KIA,포수,68,436.1,0.879,9.52
3,김호령,KIA,중견수,40,106.2,0.466,5.05
4,김도영,KIA,3루수,92,762.0,0.343,3.72
5,이우성,KIA,좌익수,2,6.0,0.211,2.28
6,한준수,KIA,포수,69,411.2,0.201,2.18
7,박민,KIA,유격수,10,40.0,0.2,2.16
8,최원준,KIA,중견수,69,466.1,0.192,2.08
9,박정우,KIA,중견수,26,55.0,0.168,1.82
10,서건창,KIA,2루수,30,144.0,0.161,1.74
11,변우혁,KIA,3루수,7,35.0,0.149,1.62
12,홍종표,KIA,2루수,40,111.0,0.078,0.85
13,이창진,KIA,중견수,1,5.0,0.05,0.54
14,박정우,KIA,좌익수,3,3.0,-0.002,-0.02
15,박정우,KIA,우익수,1,9.0,-0.013,-0.14
16,김선빈,KIA,3루수,1,3.0,-0.024,-0.26
17,김선빈,KIA,2루수,74,573.0,-0.029,-0.31
18,소크라테스,KIA,우익수,4,11.0,-0.034,-0.37
19,고종욱,KIA,좌익수,7,19.0,-0.044,-0.47
19,황대인,KIA,1루수,2,10.0,-0.044,-0.48
21,홍종표,KIA,유격수,11,64.0,-0.077,-0.83
22,김규성,KIA,유격수,5,11.2,-0.083,-0.9
23,김규성,KIA,3루수,1,5.0,-0.11,-1.2
24,한승택,KIA,포수,3,8.0,-0.145,-1.57
25,박민,KIA,2루수,4,28.0,-0.146,-1.58
26,이창진,KIA,좌익수,36,182.2,-0.148,-1.61
27,이우성,KIA,우익수,16,105.0,-0.151,-1.64
28,변우혁,KIA,1루수,21,125.0,-0.162,-1.76
29,소크라테스,KIA,중견수,32,223.0,-0.186,-2.02
30,최원준,KIA,우익수,63,243.2,-0.208,-2.25
31,이창진,KIA,우익수,31,156.0,-0.263,-2.85
32,홍종표,KIA,3루수,12,47.0,-0.271,-2.93
33,서건창,KIA,1루수,38,213.0,-0.34,-3.68
34,나성범,KIA,우익수,43,331.1,-0.363,-3.94
35,최형우,KIA,좌익수,13,92.0,-0.419,-4.54
36,이우성,KIA,1루수,64,507.0,-1.126,-12.2
37,소크라테스,KIA,좌익수,80,553.1,-1.18,-12.78
48,이형범,KIA,투수,11,10.1,nan,nan
48,황동하,KIA,투수,16,61.2,nan,nan
48,전상현,KIA,투수,44,42.2,nan,nan
48,정해영,KIA,투수,32,32.0,nan,nan
48,김승현,KIA,투수,7,7.2,nan,nan
48,곽도규,KIA,투수,42,33.2,nan,nan
48,최지민,KIA,투수,42,36.1,nan,nan
48,김선빈,KIA,1루수,1,1.0,nan,nan
48,김선빈,KIA,유격수,2,3.0,nan,nan
48,박민,KIA,3루수,3,4.0,nan,nan
