순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,김규성,KIA,0.500,1,0,0,-,0,2.00,5.00,0.500,1.3,0.588
2,박정우,KIA,0.368,3,8,1,8.00,1,0.33,3.85,0.158,2.7,0.312
3,김도영,KIA,0.348,47,70,101,0.69,10,0.63,3.80,0.276,90.7,0.344
4,이우성,KIA,0.317,20,80,52,1.54,5,0.56,4.00,0.133,45.9,0.289
5,홍종표,KIA,0.308,6,23,9,2.56,0,0.23,3.69,0.103,10.6,0.263
6,한준수,KIA,0.306,18,43,56,0.77,0,0.49,3.89,0.140,30.2,0.274
7,최원준,KIA,0.303,27,94,70,1.34,7,0.63,4.03,0.145,49.2,0.28
8,소크라테스,KIA,0.302,41,89,108,0.82,4,0.52,3.66,0.226,68.3,0.295
9,김선빈,KIA,0.302,17,89,66,1.35,3,0.89,4.00,0.111,38.0,0.271
10,최형우,KIA,0.295,40,78,92,0.85,8,0.65,4.10,0.240,65.6,0.304
11,박찬호,KIA,0.294,19,113,98,1.15,3,0.85,3.66,0.071,43.2,0.247
12,고종욱,KIA,0.292,3,10,3,3.33,1,0.75,3.59,0.208,3.6,0.292
13,서건창,KIA,0.288,13,38,52,0.73,1,1.23,4.16,0.100,28.0,0.279
14,황대인,KIA,0.286,1,3,1,3.00,0,0.00,3.14,0.143,0.8,0.236
15,나성범,KIA,0.281,28,61,50,1.22,8,0.44,4.00,0.211,40.9,0.282
16,박민,KIA,0.276,4,4,10,0.40,0,0.14,3.47,0.138,3.0,0.239
17,변우혁,KIA,0.263,6,14,20,0.70,0,0.14,3.51,0.132,7.0,0.23
18,김태군,KIA,0.261,9,62,42,1.48,2,0.60,3.49,0.118,17.7,0.242
19,이창진,KIA,0.256,6,32,37,0.86,1,1.35,4.09,0.048,21.0,0.265
20,예진원,KIA,0.211,1,6,1,6.00,0,0.25,3.86,0.053,1.1,0.194
21,김호령,KIA,0.147,1,6,6,1.00,0,0.29,4.56,0.088,2.4,0.174
22,곽도규,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
22,김승현,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
22,이형범,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
22,전상현,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
22,정해영,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
22,최지민,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
22,한승택,KIA,0.000,0,0,1,0.00,0,-,5.00,0.000,0.3,0.225
22,황동하,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
