순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,장성우,KT,포수,77,561.1,1.092,11.81
2,김상수,KT,유격수,73,555.2,0.772,8.35
3,문상철,KT,1루수,53,403.2,0.663,7.18
4,오윤석,KT,2루수,44,294.0,0.478,5.17
5,로하스,KT,좌익수,66,472.1,0.46,4.97
6,신본기,KT,유격수,42,197.1,0.385,4.16
7,정준영,KT,우익수,27,142.1,0.284,3.07
8,조용호,KT,우익수,45,271.0,0.198,2.14
9,김병준,KT,중견수,16,41.0,0.166,1.79
10,로하스,KT,우익수,36,253.2,0.149,1.62
11,이호연,KT,3루수,10,42.0,0.141,1.52
12,홍현빈,KT,좌익수,8,16.2,0.102,1.1
13,장준원,KT,유격수,11,34.0,0.083,0.9
14,천성호,KT,3루수,3,11.0,0.082,0.89
15,심우준,KT,2루수,1,3.0,0.057,0.61
16,안치영,KT,중견수,14,91.0,0.056,0.6
17,박민석,KT,2루수,2,6.0,0.053,0.58
18,김준태,KT,포수,18,57.1,0.045,0.48
19,조대현,KT,포수,8,24.0,0.04,0.44
20,권동진,KT,2루수,4,15.1,0.035,0.38
21,장준원,KT,3루수,4,23.0,0.015,0.17
22,송민섭,KT,중견수,2,5.0,0.014,0.15
23,로하스,KT,중견수,6,27.0,0.011,0.12
24,오윤석,KT,1루수,4,6.0,0.006,0.06
24,안치영,KT,좌익수,3,4.0,0.006,0.06
26,정준영,KT,중견수,2,7.0,0.004,0.05
27,문상철,KT,좌익수,1,2.0,0.001,0.01
28,심우준,KT,유격수,6,45.0,0.0,0.0
29,이호연,KT,1루수,1,2.0,-0.001,-0.01
30,박병호,KT,1루수,32,227.1,-0.002,-0.02
31,윤준혁,KT,3루수,4,11.1,-0.027,-0.29
32,황재균,KT,3루수,91,722.0,-0.034,-0.37
32,안치영,KT,우익수,13,30.0,-0.034,-0.37
34,오윤석,KT,3루수,7,22.0,-0.04,-0.43
35,박경수,KT,2루수,3,3.1,-0.041,-0.45
36,권동진,KT,3루수,1,4.0,-0.047,-0.5
37,신본기,KT,3루수,5,9.0,-0.049,-0.53
38,정준영,KT,좌익수,5,12.0,-0.053,-0.58
39,김민혁,KT,우익수,6,18.1,-0.055,-0.6
40,김병준,KT,우익수,4,8.0,-0.056,-0.6
40,김상수,KT,2루수,5,28.2,-0.056,-0.61
42,김건형,KT,우익수,12,66.0,-0.058,-0.62
43,강현우,KT,포수,15,69.0,-0.075,-0.81
43,김민혁,KT,좌익수,36,240.2,-0.075,-0.81
45,박민석,KT,유격수,4,7.1,-0.084,-0.91
46,안현민,KT,좌익수,8,40.0,-0.136,-1.47
47,홍현빈,KT,중견수,7,22.0,-0.143,-1.55
48,이호연,KT,2루수,7,14.0,-0.151,-1.63
49,강백호,KT,포수,21,132.2,-0.157,-1.69
50,강백호,KT,우익수,5,24.0,-0.165,-1.79
51,김민혁,KT,중견수,14,105.1,-0.186,-2.01
52,신본기,KT,2루수,22,76.2,-0.245,-2.65
53,홍현빈,KT,우익수,14,27.0,-0.261,-2.83
54,조용호,KT,좌익수,11,52.2,-0.446,-4.83
55,배정대,KT,중견수,64,546.0,-0.583,-6.31
56,오재일,KT,1루수,26,204.1,-0.76,-8.22
57,천성호,KT,2루수,55,403.1,-0.961,-10.4
71,김병준,KT,좌익수,3,4.0,nan,nan
71,황재균,KT,1루수,1,1.0,nan,nan
71,우규민,KT,투수,25,25.2,nan,nan
71,박영현,KT,투수,41,48.2,nan,nan
71,손동현,KT,투수,29,32.1,nan,nan
71,송민섭,KT,우익수,3,4.0,nan,nan
71,강건,KT,투수,4,4.0,nan,nan
71,박시영,KT,투수,24,25.1,nan,nan
71,이선우,KT,투수,6,10.0,nan,nan
71,성재헌,KT,투수,23,26.1,nan,nan
71,김민,KT,투수,43,49.1,nan,nan
71,주권,KT,투수,35,44.1,nan,nan
71,황재균,KT,유격수,4,5.0,nan,nan
