순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,배정대,KT,64,13,8,5,61.5,3,0
2,천성호,KT,60,7,7,0,100,2,1
3,강백호,KT,95,7,5,2,71.4,3,0
3,조용호,KT,54,6,5,1,83.3,1,1
5,장성우,KT,88,4,4,0,100,3,0
5,황재균,KT,93,7,4,3,57.1,1,0
7,문상철,KT,84,4,3,1,75.0,0,1
8,김민혁,KT,67,2,2,0,100,1,0
8,김상수,KT,77,3,2,1,66.7,1,0
8,신본기,KT,60,2,2,0,100,0,0
8,심우준,KT,6,2,2,0,100,0,0
12,강건,KT,1,0,0,0,-,0,0
12,강현우,KT,16,0,0,0,-,0,0
12,권동진,KT,5,0,0,0,-,0,0
12,김건형,KT,13,0,0,0,-,0,0
12,김민,KT,1,0,0,0,-,0,0
12,김병준,KT,25,0,0,0,-,1,0
12,김준태,KT,23,0,0,0,-,0,0
12,로하스,KT,95,1,0,1,0.0,2,0
12,박경수,KT,5,0,0,0,-,0,0
12,박민석,KT,8,1,0,1,0.0,0,0
12,박시영,KT,1,0,0,0,-,0,0
12,박영현,KT,5,0,0,0,-,0,0
12,성재헌,KT,1,0,0,0,-,0,0
12,손동현,KT,2,0,0,0,-,0,0
12,송민섭,KT,5,1,0,1,0.0,0,0
12,안치영,KT,31,1,0,1,0.0,0,0
12,안현민,KT,9,0,0,0,-,0,0
12,오윤석,KT,51,0,0,0,-,0,0
12,오재일,KT,62,0,0,0,-,1,0
12,우규민,KT,2,0,0,0,-,0,0
12,윤준혁,KT,4,0,0,0,-,0,0
12,이선우,KT,3,0,0,0,-,0,0
12,이호연,KT,23,0,0,0,-,0,0
12,장준원,KT,17,0,0,0,-,0,0
12,정준영,KT,32,0,0,0,-,0,0
12,조대현,KT,8,0,0,0,-,0,0
12,주권,KT,2,0,0,0,-,0,0
12,홍현빈,KT,26,0,0,0,-,0,0
