순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,박해민,LG,93,36,29,7,80.6,3,3
2,신민재,LG,90,33,27,6,81.8,3,0
3,문성주,LG,85,20,13,7,65.0,5,0
4,오지환,LG,59,15,12,3,80.0,3,0
5,오스틴,LG,91,17,11,6,64.7,6,1
6,최승민,LG,29,14,8,6,57.1,1,1
6,홍창기,LG,89,17,8,9,47.1,6,1
8,문보경,LG,93,10,5,5,50.0,1,2
8,최원영,LG,23,8,5,3,62.5,1,1
10,김현수,LG,87,5,4,1,80.0,2,1
11,구본혁,LG,84,7,3,4,42.9,0,0
12,김대원,LG,17,3,2,1,66.7,0,0
12,안익훈,LG,27,2,2,0,100,0,0
14,박동원,LG,82,1,1,0,100,2,0
15,김대현,LG,2,0,0,0,-,0,0
15,김민수,LG,6,0,0,0,-,0,0
15,김범석,LG,44,0,0,0,-,1,0
15,김성우,LG,1,0,0,0,-,0,0
15,김성진,LG,7,0,0,0,-,0,0
15,김주성,LG,12,0,0,0,-,0,0
15,김진성,LG,1,0,0,0,-,0,0
15,김태우,LG,4,0,0,0,-,0,0
15,김현종,LG,15,0,0,0,-,0,0
15,송찬의,LG,5,0,0,0,-,0,0
15,유영찬,LG,3,0,0,0,-,0,0
15,이지강,LG,1,0,0,0,-,0,0
15,전준호,LG,3,0,0,0,-,0,0
15,최동환,LG,1,0,0,0,-,0,0
15,최명경,LG,1,0,0,0,-,0,0
15,함창건,LG,7,0,0,0,-,0,0
15,허도환,LG,41,0,0,0,-,2,0
