순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,김주원,NC,유격수,81,611.0,1.957,21.06
2,박민우,NC,2루수,64,524.0,1.199,12.91
3,김형준,NC,포수,73,590.0,0.706,7.59
4,김휘집,NC,3루수,22,148.0,0.521,5.61
5,손아섭,NC,우익수,20,130.2,0.487,5.24
6,권희동,NC,좌익수,79,567.2,0.346,3.72
7,최정원,NC,중견수,18,60.1,0.285,3.07
8,김성욱,NC,중견수,68,497.0,0.228,2.45
9,박시원,NC,중견수,18,126.0,0.141,1.52
10,도태훈,NC,1루수,32,95.0,0.116,1.25
11,한석현,NC,좌익수,7,11.2,0.111,1.2
12,권희동,NC,중견수,7,38.0,0.107,1.15
13,박세혁,NC,포수,44,207.0,0.101,1.09
14,오영수,NC,1루수,10,49.2,0.099,1.07
15,도태훈,NC,2루수,19,89.0,0.061,0.66
16,김수윤,NC,1루수,3,12.0,0.052,0.55
17,도태훈,NC,3루수,13,45.2,0.028,0.3
18,김세훈,NC,2루수,1,7.0,0.025,0.27
19,박영빈,NC,좌익수,4,8.0,0.023,0.24
20,최정원,NC,좌익수,1,2.0,0.015,0.16
21,김휘집,NC,유격수,18,123.2,0.003,0.03
22,김한별,NC,2루수,6,9.0,-0.01,-0.11
23,박시원,NC,우익수,1,8.0,-0.034,-0.36
24,서호철,NC,3루수,75,600.0,-0.036,-0.39
25,김성욱,NC,좌익수,11,26.1,-0.038,-0.41
26,서호철,NC,2루수,16,75.1,-0.042,-0.46
27,김수윤,NC,3루수,1,2.0,-0.049,-0.53
28,김세훈,NC,유격수,5,8.1,-0.069,-0.74
29,손아섭,NC,좌익수,9,65.0,-0.084,-0.9
30,천재환,NC,좌익수,9,25.0,-0.102,-1.1
31,천재환,NC,중견수,10,46.2,-0.155,-1.66
32,한석현,NC,우익수,12,29.1,-0.172,-1.85
33,박건우,NC,중견수,3,15.0,-0.177,-1.9
34,한석현,NC,중견수,3,14.0,-0.189,-2.03
35,김한별,NC,유격수,11,53.0,-0.204,-2.19
36,권희동,NC,우익수,6,35.1,-0.24,-2.58
37,김성욱,NC,우익수,17,49.2,-0.242,-2.61
38,최정원,NC,2루수,16,92.2,-0.298,-3.2
39,박한결,NC,좌익수,16,91.1,-0.327,-3.52
40,천재환,NC,우익수,16,44.0,-0.4,-4.3
41,박건우,NC,우익수,64,500.0,-0.576,-6.2
42,데이비슨,NC,1루수,77,640.1,-0.976,-10.5
50,김재열,NC,투수,49,49.0,nan,nan
50,송명기,NC,투수,22,27.1,nan,nan
50,김한별,NC,3루수,2,1.1,nan,nan
50,도태훈,NC,유격수,1,1.0,nan,nan
50,김영규,NC,투수,38,40.1,nan,nan
50,한재승,NC,투수,34,30.0,nan,nan
50,류진욱,NC,투수,20,17.0,nan,nan
