순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,김한별,NC,0.370,1,5,5,1.00,0,0.14,4.26,0.037,5.0,0.305
2,박건우,NC,0.351,37,68,88,0.77,6,0.57,3.68,0.201,64.2,0.322
3,김수윤,NC,0.333,0,0,1,0.00,0,0.33,4.00,0.000,1.0,0.276
3,박영빈,NC,0.333,1,0,0,-,0,0.00,5.33,0.333,0.9,0.317
5,박민우,NC,0.325,24,68,79,0.86,3,0.71,3.99,0.123,55.4,0.298
6,손아섭,NC,0.291,23,110,63,1.75,6,0.26,3.79,0.113,43.4,0.246
7,천재환,NC,0.291,5,11,19,0.58,0,0.33,3.77,0.145,8.1,0.267
8,서호철,NC,0.284,17,80,76,1.05,3,0.40,3.86,0.090,40.1,0.256
9,권희동,NC,0.282,20,81,82,0.99,6,1.04,4.52,0.105,50.2,0.277
10,데이비슨,NC,0.278,39,51,90,0.57,5,0.26,3.90,0.297,63.4,0.3
11,최정원,NC,0.271,2,24,9,2.67,1,0.63,4.38,0.029,10.3,0.253
12,박세혁,NC,0.247,6,14,23,0.61,1,0.30,3.75,0.090,10.3,0.233
13,박시원,NC,0.239,4,17,17,1.00,1,0.35,3.95,0.113,8.0,0.227
14,김휘집,NC,0.234,27,55,98,0.56,2,0.33,4.09,0.174,37.0,0.24
15,한석현,NC,0.217,0,7,4,1.75,0,0.14,4.00,0.000,0.8,0.18
16,김형준,NC,0.213,21,35,59,0.59,6,0.37,4.21,0.196,35.1,0.245
17,박한결,NC,0.200,7,8,13,0.62,0,0.32,3.91,0.380,8.8,0.274
17,오영수,NC,0.200,3,3,16,0.19,0,0.33,4.24,0.300,5.0,0.244
19,도태훈,NC,0.195,3,25,23,1.09,1,0.74,4.27,0.037,8.8,0.212
20,김성욱,NC,0.192,17,54,85,0.64,3,0.43,4.04,0.158,27.1,0.22
21,김주원,NC,0.191,12,46,71,0.65,2,0.42,4.07,0.102,26.6,0.215
22,김세훈,NC,0.000,0,2,0,-,0,0.50,4.40,0.000,0.0,0.09
22,김영규,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
22,김재열,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
22,류진욱,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
22,송명기,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
22,한재승,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
