순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,박민우,NC,74,28,23,5,82.1,4,3
2,김성욱,NC,87,11,9,2,81.8,0,0
2,김주원,NC,85,11,9,2,81.8,4,0
4,손아섭,NC,79,8,6,2,75.0,4,0
5,천재환,NC,38,5,5,0,100,2,0
5,최정원,NC,40,8,5,3,62.5,2,0
7,박건우,NC,85,4,4,0,100,0,0
8,권희동,NC,86,3,3,0,100,3,0
9,김휘집,NC,87,4,2,2,50.0,2,0
9,박세혁,NC,54,2,2,0,100,1,0
9,박영빈,NC,6,2,2,0,100,0,0
9,한석현,NC,22,3,2,1,66.7,1,0
13,박시원,NC,21,1,1,0,100,1,0
13,서호철,NC,89,4,1,3,25.0,5,0
15,김세훈,NC,7,0,0,0,-,0,0
15,김수윤,NC,5,0,0,0,-,0,0
15,김영규,NC,1,0,0,0,-,0,0
15,김재열,NC,1,0,0,0,-,0,0
15,김한별,NC,18,0,0,0,-,0,0
15,김형준,NC,75,0,0,0,-,2,0
15,데이비슨,NC,82,1,0,1,0.0,3,0
15,도태훈,NC,61,0,0,0,-,1,0
15,류진욱,NC,1,0,0,0,-,0,0
15,박한결,NC,20,0,0,0,-,0,0
15,송명기,NC,1,0,0,0,-,0,0
15,오영수,NC,20,0,0,0,-,0,0
15,한재승,NC,1,0,0,0,-,0,0
