순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
1,박성한,SSG,0.286,28,8,2,0,0,5,6,0,3,0,1번
2,최지훈,SSG,0.269,324,87,16,5,5,34,41,1,52,4,1번
3,박지환,SSG,0.235,34,8,0,0,0,0,2,0,11,1,1번
4,강진성,SSG,0.0,2,0,0,0,0,0,0,0,0,0,1번
4,오태곤,SSG,0.0,1,0,0,0,0,0,1,0,0,0,1번
4,최경모,SSG,0.0,1,0,0,0,0,0,0,0,0,0,1번
4,최민창,SSG,0.0,1,0,0,0,0,0,0,0,1,0,1번
4,하재훈,SSG,0.0,2,0,0,0,0,0,0,0,1,0,1번
1,박지환,SSG,0.400,5,2,0,0,0,1,1,0,0,0,2번
2,에레디아,SSG,0.333,9,3,0,0,1,4,3,0,0,1,2번
2,정준재,SSG,0.333,3,1,0,0,0,0,1,0,1,0,2번
2,최지훈,SSG,0.333,21,7,1,0,1,2,0,0,4,1,2번
2,하재훈,SSG,0.333,6,2,1,0,0,0,0,0,2,0,2번
6,박성한,SSG,0.302,149,45,10,0,3,17,22,1,21,3,2번
7,추신수,SSG,0.299,137,41,6,0,3,21,23,3,39,1,2번
8,최준우,SSG,0.250,4,1,1,0,0,1,1,0,1,0,2번
9,오태곤,SSG,0.235,17,4,1,0,0,0,2,0,6,0,2번
10,김성현,SSG,0.100,10,1,0,0,0,0,1,1,2,0,2번
11,강진성,SSG,-,0,0,0,0,0,0,1,0,0,0,2번
11,고명준,SSG,0.000,1,0,0,0,0,0,0,1,1,0,2번
11,김찬형,SSG,0.000,2,0,0,0,0,0,0,0,2,0,2번
11,김창평,SSG,0.000,1,0,0,0,0,0,0,0,1,0,2번
11,전의산,SSG,0.000,2,0,0,0,0,0,0,0,0,0,2번
11,최경모,SSG,0.000,5,0,0,0,0,0,0,0,2,0,2번
1,김성현,SSG,0.667,3,2,0,0,0,1,2,0,0,0,3번
2,에레디아,SSG,0.407,27,11,0,0,3,12,3,1,5,0,3번
3,박성한,SSG,0.313,16,5,1,0,0,2,2,0,2,0,3번
4,최정,SSG,0.290,290,84,18,1,24,72,37,16,66,8,3번
5,정준재,SSG,0.200,5,1,0,0,0,1,2,0,0,0,3번
6,박지환,SSG,0.167,6,1,0,0,0,1,2,0,2,1,3번
7,김찬형,SSG,0.000,1,0,0,0,0,0,0,0,0,0,3번
7,오태곤,SSG,0.000,2,0,0,0,0,0,1,0,1,0,3번
7,이지영,SSG,0.000,1,0,0,0,0,0,0,0,0,0,3번
7,정현승,SSG,0.000,1,0,0,0,0,0,0,0,0,0,3번
7,최경모,SSG,0.000,2,0,0,0,0,0,2,0,0,1,3번
7,추신수,SSG,0.000,3,0,0,0,0,0,0,1,1,0,3번
7,한유섬,SSG,-,0,0,0,0,0,0,1,0,0,0,3번
1,에레디아,SSG,0.353,255,90,14,1,5,53,9,7,29,6,4번
2,하재훈,SSG,0.267,30,8,1,0,1,3,0,0,9,0,4번
3,한유섬,SSG,0.232,99,23,7,0,4,15,6,2,36,0,4번
4,강진성,SSG,0.000,2,0,0,0,0,0,0,0,0,0,4번
4,오태곤,SSG,0.000,1,0,0,0,0,0,0,0,1,0,4번
4,정현승,SSG,0.000,1,0,0,0,0,0,0,0,0,0,4번
4,최경모,SSG,-,0,0,0,0,0,0,0,0,0,0,4번
4,최상민,SSG,0.000,1,0,0,0,0,0,0,0,0,0,4번
4,추신수,SSG,0.000,1,0,0,0,0,0,0,0,0,0,4번
1,박성한,SSG,0.4,15,6,1,0,0,4,4,0,1,1,5번
2,에레디아,SSG,0.388,49,19,4,0,1,5,2,0,9,1,5번
3,이지영,SSG,0.25,16,4,1,0,0,1,1,0,1,1,5번
3,전의산,SSG,0.25,4,1,0,0,0,0,1,0,2,0,5번
5,하재훈,SSG,0.231,26,6,3,0,0,5,2,1,10,1,5번
6,한유섬,SSG,0.229,166,38,8,0,10,34,20,5,55,1,5번
7,오태곤,SSG,0.222,9,2,0,0,0,2,0,0,4,0,5번
8,추신수,SSG,0.2,10,2,2,0,0,1,1,0,3,0,5번
9,고명준,SSG,0.193,57,11,2,0,0,2,5,0,17,0,5번
10,강진성,SSG,0.0,1,0,0,0,0,0,0,0,0,0,5번
