순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,이지영,SSG,포수,72,556.1,1.219,13.15
2,박성한,SSG,유격수,92,774.1,1.206,13.01
3,오태곤,SSG,1루수,44,154.0,0.591,6.38
4,김성현,SSG,3루수,14,94.0,0.379,4.09
5,정준재,SSG,2루수,21,141.2,0.317,3.42
6,최경모,SSG,2루수,20,72.2,0.268,2.89
7,오태곤,SSG,좌익수,9,31.2,0.072,0.77
8,김찬형,SSG,유격수,1,3.0,0.064,0.69
9,정현승,SSG,좌익수,4,20.0,0.053,0.58
10,강진성,SSG,1루수,2,9.0,0.048,0.51
11,최준우,SSG,3루수,4,6.0,0.046,0.49
12,박지환,SSG,2루수,38,296.2,0.044,0.47
13,정준재,SSG,유격수,3,5.2,0.039,0.42
14,강진성,SSG,좌익수,1,3.0,0.027,0.3
14,김창평,SSG,우익수,1,4.0,0.027,0.29
16,오태곤,SSG,3루수,2,5.0,0.014,0.15
16,정준재,SSG,3루수,12,45.2,0.014,0.15
18,김성현,SSG,2루수,16,90.0,0.003,0.03
19,최상민,SSG,우익수,1,3.0,0.0,0.0
19,문승원,SSG,투수,34,35.2,0.0,0.0
21,정현승,SSG,우익수,7,34.0,-0.002,-0.02
22,김찬형,SSG,2루수,2,11.0,-0.003,-0.04
23,추신수,SSG,우익수,6,35.0,-0.007,-0.08
24,최민창,SSG,우익수,3,4.0,-0.011,-0.11
25,오태곤,SSG,중견수,10,42.0,-0.017,-0.18
26,고명준,SSG,1루수,79,584.0,-0.021,-0.23
27,김민식,SSG,포수,29,202.0,-0.043,-0.46
28,안상현,SSG,2루수,28,176.0,-0.049,-0.53
29,김찬형,SSG,3루수,2,10.0,-0.077,-0.83
30,최경모,SSG,3루수,19,60.0,-0.104,-1.12
31,최경모,SSG,유격수,9,20.0,-0.109,-1.18
32,최준우,SSG,2루수,10,47.0,-0.143,-1.54
33,오태곤,SSG,우익수,9,44.0,-0.179,-1.93
34,조형우,SSG,포수,14,76.2,-0.197,-2.12
35,최지훈,SSG,중견수,94,791.0,-0.211,-2.27
36,한유섬,SSG,좌익수,3,11.0,-0.213,-2.29
37,최정,SSG,3루수,79,612.1,-0.242,-2.61
38,김성현,SSG,유격수,7,32.0,-0.307,-3.31
39,전의산,SSG,1루수,15,88.0,-0.323,-3.48
40,에레디아,SSG,좌익수,71,583.1,-0.37,-4.0
41,하재훈,SSG,좌익수,25,182.0,-0.41,-4.42
42,한유섬,SSG,우익수,58,460.0,-0.65,-7.01
43,하재훈,SSG,우익수,38,251.0,-1.874,-20.22
54,고명준,SSG,3루수,1,1.0,nan,nan
54,박민호,SSG,투수,19,22.2,nan,nan
54,안상현,SSG,3루수,1,1.0,nan,nan
54,최민창,SSG,좌익수,2,3.0,nan,nan
54,한두솔,SSG,투수,40,38.2,nan,nan
54,조병현,SSG,투수,50,47.2,nan,nan
54,이로운,SSG,투수,44,45.0,nan,nan
54,최민창,SSG,중견수,1,1.0,nan,nan
54,최상민,SSG,좌익수,1,1.0,nan,nan
54,하재훈,SSG,중견수,1,1.0,nan,nan
