순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,박준영,doosan,유격수,51,382.2,0.992,10.74
2,강승호,doosan,2루수,85,685.2,0.919,9.96
3,정수빈,doosan,중견수,89,733.1,0.607,6.58
4,김기연,doosan,포수,51,361.2,0.564,6.11
5,조수행,doosan,좌익수,61,450.2,0.475,5.14
6,양의지,doosan,포수,52,427.1,0.461,4.99
7,허경민,doosan,3루수,76,608.2,0.362,3.93
8,이유찬,doosan,3루수,13,98.0,0.277,3.0
9,이유찬,doosan,유격수,11,66.0,0.242,2.62
10,이유찬,doosan,2루수,27,98.2,0.239,2.59
11,김대한,doosan,우익수,27,116.0,0.221,2.39
12,전민재,doosan,3루수,25,94.0,0.118,1.28
13,양찬열,doosan,우익수,3,4.0,0.044,0.48
14,안승한,doosan,포수,2,9.1,0.039,0.43
15,조수행,doosan,우익수,14,61.0,0.028,0.3
16,장승현,doosan,포수,9,58.0,0.019,0.21
17,서예일,doosan,유격수,3,5.0,0.016,0.18
18,이유찬,doosan,중견수,2,3.0,0.005,0.06
19,김태근,doosan,우익수,9,17.2,0.002,0.03
20,강승호,doosan,1루수,27,107.2,0.001,0.01
21,전다민,doosan,우익수,1,3.0,0.0,0.0
22,홍성호,doosan,좌익수,1,2.0,-0.001,-0.01
22,이유찬,doosan,좌익수,1,1.0,-0.001,-0.01
24,홍성호,doosan,1루수,3,5.0,-0.002,-0.03
25,홍성호,doosan,우익수,2,4.0,-0.003,-0.03
26,김태근,doosan,좌익수,6,37.2,-0.013,-0.14
26,전민재,doosan,유격수,39,247.2,-0.013,-0.15
28,서예일,doosan,3루수,9,34.0,-0.018,-0.2
29,박준영,doosan,3루수,6,16.0,-0.03,-0.33
30,전다민,doosan,좌익수,7,38.2,-0.036,-0.39
31,박민준,doosan,포수,1,1.0,-0.045,-0.48
32,김대한,doosan,중견수,5,10.0,-0.048,-0.52
33,전다민,doosan,중견수,2,3.0,-0.049,-0.54
34,김인태,doosan,우익수,1,6.0,-0.061,-0.66
35,윤준호,doosan,포수,3,9.0,-0.087,-0.94
36,박계범,doosan,2루수,13,24.0,-0.112,-1.21
37,박계범,doosan,유격수,3,19.0,-0.12,-1.3
38,김인태,doosan,좌익수,7,38.0,-0.144,-1.55
39,김태근,doosan,중견수,6,19.0,-0.146,-1.58
40,전민재,doosan,2루수,9,57.0,-0.154,-1.66
41,조수행,doosan,중견수,18,98.0,-0.202,-2.19
42,김대한,doosan,좌익수,19,80.0,-0.25,-2.71
43,박계범,doosan,3루수,10,15.2,-0.288,-3.12
44,김재호,doosan,유격수,25,146.0,-0.489,-5.3
45,양석환,doosan,1루수,88,750.2,-0.593,-6.43
46,김재환,doosan,좌익수,29,218.1,-0.614,-6.65
47,라모스,doosan,우익수,79,654.2,-0.698,-7.56
63,박치국,doosan,투수,35,30.2,nan,nan
63,최지강,doosan,투수,45,41.1,nan,nan
63,김민규,doosan,투수,9,14.1,nan,nan
63,김호준,doosan,투수,15,13.1,nan,nan
63,김동주,doosan,투수,13,49.2,nan,nan
63,김민혁,doosan,1루수,1,1.0,nan,nan
63,홍건희,doosan,투수,37,36.0,nan,nan
63,오명진,doosan,2루수,1,1.0,nan,nan
63,김명신,doosan,투수,29,27.1,nan,nan
63,전민재,doosan,1루수,1,1.0,nan,nan
63,정철원,doosan,투수,20,19.0,nan,nan
63,박계범,doosan,1루수,1,1.0,nan,nan
63,박정수,doosan,투수,26,27.1,nan,nan
63,이교훈,doosan,투수,19,23.0,nan,nan
63,이영하,doosan,투수,41,46.1,nan,nan
