순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,허경민,두산,0.343,82,342,300,55,103,20,0,6,141,47,0,5,25,0,12,18,6,0.470,0.409,0.879,31,0.324,0.667
2,양의지,두산,0.335,84,354,319,41,107,12,0,12,155,74,0,6,23,3,6,34,9,0.486,0.384,0.870,30,0.427,0.5
3,전다민,두산,0.333,16,24,18,6,6,1,0,0,7,1,0,0,6,0,0,7,0,0.389,0.500,0.889,0,0.375,0.333
3,홍성호,두산,0.333,13,13,12,0,4,2,0,0,6,1,0,0,1,0,0,5,0,0.500,0.385,0.885,0,0.167,0.25
5,라모스,두산,0.305,80,348,311,43,95,19,3,10,150,48,1,6,27,1,3,60,5,0.482,0.360,0.842,27,0.257,0.0
6,강승호,두산,0.287,99,400,369,54,106,25,6,13,182,55,1,3,23,3,4,111,4,0.493,0.333,0.826,29,0.275,0.333
7,서예일,두산,0.286,15,14,14,1,4,0,0,0,4,1,0,0,0,0,0,3,0,0.286,0.286,0.572,1,0.667,0.0
7,이유찬,두산,0.286,65,127,112,22,32,3,0,2,41,8,1,0,13,0,1,25,4,0.366,0.365,0.731,9,0.242,0.333
9,정수빈,두산,0.277,93,403,343,67,95,12,3,3,122,30,6,6,42,1,6,46,7,0.356,0.360,0.716,28,0.266,0.0
10,전민재,두산,0.277,69,174,159,23,44,5,0,2,55,23,2,2,9,1,2,34,6,0.346,0.320,0.666,13,0.35,0.0
11,조수행,두산,0.266,90,258,222,44,59,2,2,0,65,17,9,3,23,1,1,33,2,0.293,0.333,0.626,16,0.19,0.4
12,김기연,두산,0.262,56,167,149,21,39,5,0,4,56,17,1,2,13,0,2,24,4,0.376,0.325,0.701,10,0.278,0.167
13,김재환,두산,0.261,94,379,326,45,85,19,0,18,158,64,0,8,40,3,5,119,7,0.485,0.343,0.828,16,0.224,0.667
14,양석환,두산,0.253,98,400,360,56,91,18,1,22,177,72,0,2,35,1,3,86,13,0.492,0.323,0.815,28,0.303,0.667
15,김재호,두산,0.250,29,69,56,6,14,4,0,0,18,3,2,1,9,0,1,10,2,0.321,0.358,0.679,3,0.5,0.0
15,윤준호,두산,0.250,3,4,4,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0.250,0.250,0.500,0,0.0,0.0
17,박준영,두산,0.235,57,191,166,24,39,8,2,6,69,25,1,1,20,0,3,50,2,0.416,0.326,0.742,7,0.2,1.0
18,김민혁,두산,0.200,5,8,5,1,1,0,0,1,4,2,0,0,3,0,0,3,0,0.800,0.500,1.300,0,0.0,0.0
18,박계범,두산,0.200,24,20,15,5,3,1,0,0,4,0,0,0,5,0,0,7,2,0.267,0.400,0.667,0,0.0,0.0
18,안승한,두산,0.200,4,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.200,0.200,0.400,0,0.0,0.5
18,양찬열,두산,0.200,5,6,5,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0.200,0.333,0.533,0,0.0,0.0
18,장승현,두산,0.200,9,23,20,1,4,2,0,0,6,0,1,0,2,0,0,5,0,0.300,0.273,0.573,1,0.0,0.0
23,김인태,두산,0.174,10,26,23,3,4,0,0,1,7,2,0,1,2,0,0,7,1,0.304,0.231,0.535,0,0.167,0.0
24,김대한,두산,0.139,54,86,72,9,10,1,0,1,14,7,2,2,8,0,2,25,1,0.194,0.238,0.432,1,0.158,0.0
25,김태근,두산,0.095,29,24,21,3,2,0,0,0,2,1,1,0,0,0,2,10,0,0.095,0.174,0.269,0,0.333,0.0
26,김동주,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,김명신,두산,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,김민규,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,김호준,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,박민준,두산,0.000,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
26,박정수,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,박치국,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,오명진,두산,0.000,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.000,0.500,0.500,0,0.0,0.0
26,이교훈,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,이영하,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,정철원,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,최지강,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,홍건희,두산,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
