순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,조수행,두산,89,51,45,6,88.2,2,0
2,정수빈,두산,92,42,37,5,88.1,4,1
3,강승호,두산,98,18,13,5,72.2,2,0
4,이유찬,두산,64,13,9,4,69.2,3,1
5,양석환,두산,97,8,5,3,62.5,1,0
6,전민재,두산,68,6,4,2,66.7,2,0
7,라모스,두산,80,6,3,3,50.0,4,0
7,허경민,두산,81,3,3,0,100,2,0
9,박준영,두산,56,2,2,0,100,1,0
9,양의지,두산,83,2,2,0,100,6,0
11,김대한,두산,54,2,1,1,50.0,3,0
11,김재환,두산,93,2,1,1,50.0,1,0
11,박계범,두산,24,1,1,0,100,1,0
11,전다민,두산,16,1,1,0,100,1,0
11,홍성호,두산,13,1,1,0,100,0,0
16,김기연,두산,56,2,0,2,0.0,1,0
16,김동주,두산,1,0,0,0,-,0,0
16,김명신,두산,3,0,0,0,-,0,0
16,김민규,두산,1,0,0,0,-,0,0
16,김민혁,두산,5,0,0,0,-,0,0
16,김인태,두산,10,0,0,0,-,0,0
16,김재호,두산,29,0,0,0,-,1,0
16,김태근,두산,29,1,0,1,0.0,2,0
16,김호준,두산,2,0,0,0,-,0,0
16,박민준,두산,2,0,0,0,-,0,0
16,박정수,두산,1,0,0,0,-,0,0
16,박치국,두산,2,0,0,0,-,0,0
16,서예일,두산,15,0,0,0,-,0,0
16,안승한,두산,4,0,0,0,-,0,0
16,양찬열,두산,4,0,0,0,-,0,0
16,오명진,두산,2,0,0,0,-,0,0
16,윤준호,두산,3,0,0,0,-,0,0
16,이교훈,두산,2,0,0,0,-,0,0
16,이영하,두산,1,0,0,0,-,0,0
16,장승현,두산,9,1,0,1,0.0,0,0
16,정철원,두산,2,0,0,0,-,0,0
16,최지강,두산,1,0,0,0,-,0,0
16,홍건희,두산,3,0,0,0,-,0,0
