순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,최재훈,hanhwa,포수,74,515.2,0.49,5.3
2,이원석,hanhwa,중견수,37,193.0,0.374,4.04
3,이도윤,hanhwa,유격수,70,506.1,0.316,3.42
3,최인호,hanhwa,좌익수,60,383.2,0.316,3.42
5,김강민,hanhwa,중견수,31,153.1,0.209,2.26
5,이재원,hanhwa,포수,41,211.2,0.209,2.26
7,이진영,hanhwa,중견수,19,109.0,0.205,2.21
8,장진혁,hanhwa,우익수,14,45.1,0.172,1.86
9,임종찬,hanhwa,우익수,13,33.0,0.14,1.51
10,박상언,hanhwa,포수,26,113.0,0.134,1.45
11,황영묵,hanhwa,2루수,43,311.2,0.11,1.19
12,안치홍,hanhwa,2루수,8,63.0,0.103,1.11
13,이원석,hanhwa,좌익수,3,13.0,0.077,0.83
14,정은원,hanhwa,좌익수,10,70.0,0.066,0.72
15,문현빈,hanhwa,3루수,3,20.0,0.056,0.6
16,페라자,hanhwa,중견수,1,2.0,0.052,0.56
17,이도윤,hanhwa,2루수,19,82.0,0.036,0.39
18,유로결,hanhwa,우익수,1,2.0,0.028,0.3
19,장진혁,hanhwa,중견수,30,208.0,0.01,0.11
20,정은원,hanhwa,중견수,6,46.0,0.005,0.06
21,정은원,hanhwa,2루수,4,31.0,-0.002,-0.02
22,문현빈,hanhwa,유격수,1,2.0,-0.003,-0.03
23,유로결,hanhwa,중견수,2,18.0,-0.01,-0.11
24,이상혁,hanhwa,중견수,2,6.0,-0.02,-0.21
25,유로결,hanhwa,좌익수,2,11.0,-0.037,-0.4
26,채은성,hanhwa,우익수,23,181.0,-0.05,-0.54
27,황영묵,hanhwa,유격수,34,206.0,-0.058,-0.62
28,하주석,hanhwa,유격수,22,127.0,-0.079,-0.86
29,장진혁,hanhwa,좌익수,17,81.0,-0.086,-0.93
30,김인환,hanhwa,1루수,1,6.0,-0.088,-0.96
31,하주석,hanhwa,3루수,8,52.1,-0.093,-1.01
32,김인환,hanhwa,좌익수,3,20.0,-0.106,-1.14
32,이진영,hanhwa,우익수,6,18.0,-0.106,-1.15
34,이원석,hanhwa,우익수,9,27.0,-0.171,-1.85
35,페라자,hanhwa,우익수,38,303.0,-0.187,-2.03
36,김태연,hanhwa,2루수,6,30.2,-0.214,-2.32
37,임종찬,hanhwa,중견수,16,105.0,-0.239,-2.58
38,노시환,hanhwa,3루수,87,765.0,-0.274,-2.96
39,김태연,hanhwa,우익수,29,226.0,-0.305,-3.3
40,페라자,hanhwa,좌익수,41,259.2,-0.392,-4.25
41,문현빈,hanhwa,2루수,48,323.0,-0.449,-4.85
42,채은성,hanhwa,1루수,33,269.0,-0.463,-5.01
43,김태연,hanhwa,1루수,41,283.1,-0.65,-7.03
44,안치홍,hanhwa,1루수,34,283.0,-0.68,-7.36
55,장규현,hanhwa,포수,1,1.0,nan,nan
55,이상혁,hanhwa,우익수,5,6.0,nan,nan
55,박상원,hanhwa,투수,35,34.2,nan,nan
55,이명기,hanhwa,좌익수,1,1.0,nan,nan
55,이상혁,hanhwa,좌익수,1,2.0,nan,nan
55,주현상,hanhwa,투수,40,48.1,nan,nan
55,이도윤,hanhwa,3루수,1,1.0,nan,nan
55,김서현,hanhwa,투수,13,14.0,nan,nan
55,황영묵,hanhwa,3루수,3,3.0,nan,nan
55,이명기,hanhwa,중견수,1,1.0,nan,nan
