순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,김태연,한화,0.311,28,61,69,0.88,2,0.61,3.90,0.189,49.8,0.301
2,황영묵,한화,0.306,13,78,52,1.50,4,0.44,3.68,0.094,30.7,0.259
3,안치홍,한화,0.301,24,88,107,0.82,6,0.63,3.91,0.124,56.2,0.273
4,페라자,한화,0.294,38,66,69,0.96,5,0.48,3.95,0.238,57.4,0.301
5,이재원,한화,0.293,2,20,27,0.74,0,0.38,3.21,0.024,9.4,0.233
6,박상언,한화,0.286,3,6,12,0.50,0,0.75,4.02,0.071,7.4,0.28
7,최재훈,한화,0.272,10,49,52,0.94,0,0.76,4.18,0.067,29.4,0.268
8,노시환,한화,0.270,32,81,94,0.86,4,0.40,3.84,0.194,56.4,0.271
9,최인호,한화,0.268,14,58,48,1.21,3,0.77,3.96,0.098,25.6,0.251
10,이도윤,한화,0.261,6,68,66,1.03,5,0.58,3.78,0.035,23.8,0.22
11,이원석,한화,0.253,4,26,25,1.04,0,0.46,3.88,0.051,10.3,0.222
12,문현빈,한화,0.250,14,47,45,1.04,2,0.41,3.79,0.136,19.4,0.24
13,채은성,한화,0.248,24,68,93,0.73,2,0.46,3.75,0.147,35.6,0.242
14,하주석,한화,0.235,4,20,17,1.18,0,0.28,3.49,0.049,6.9,0.207
15,장진혁,한화,0.234,9,36,29,1.24,1,0.39,4.18,0.124,17.3,0.234
16,김강민,한화,0.224,1,14,24,0.58,0,0.38,3.72,0.039,7.3,0.211
17,유로결,한화,0.214,0,5,4,1.25,0,1.00,3.69,0.000,0.5,0.194
18,김인환,한화,0.211,1,3,5,0.60,0,0.29,3.82,0.158,2.6,0.235
19,이상혁,한화,0.200,0,3,0,-,0,0.00,3.00,0.000,0.7,0.14
19,이진영,한화,0.200,4,14,12,1.17,0,0.33,4.27,0.073,4.6,0.204
21,정은원,한화,0.172,5,22,15,1.47,0,0.81,4.37,0.125,7.6,0.215
22,임종찬,한화,0.158,5,12,17,0.71,2,0.32,3.66,0.123,3.1,0.183
23,김서현,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
23,박상원,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
23,이명기,한화,0.000,0,2,2,1.00,0,0.00,3.63,0.000,-0.6,0.0
23,장규현,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
23,주현상,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
