순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,최재훈,hanwha,포수,72,511.2,0.419,4.54
2,이원석,hanwha,중견수,37,193.0,0.371,4.02
3,이도윤,hanwha,유격수,68,493.0,0.363,3.93
4,최인호,hanwha,좌익수,60,383.2,0.314,3.4
5,이재원,hanwha,포수,39,197.1,0.249,2.7
6,김강민,hanwha,중견수,31,153.1,0.205,2.22
7,이진영,hanwha,중견수,19,109.0,0.202,2.19
8,장진혁,hanwha,우익수,14,45.1,0.172,1.86
9,임종찬,hanwha,우익수,13,33.0,0.139,1.51
10,박상언,hanwha,포수,26,113.0,0.136,1.47
11,황영묵,hanwha,2루수,43,311.1,0.07,0.76
12,이원석,hanwha,좌익수,2,11.0,0.066,0.72
12,정은원,hanwha,좌익수,10,70.0,0.066,0.71
14,문현빈,hanwha,3루수,3,20.0,0.055,0.59
15,이도윤,hanwha,2루수,19,82.0,0.038,0.41
16,유로결,hanwha,우익수,1,2.0,0.028,0.3
17,페라자,hanwha,중견수,1,2.0,0.027,0.3
18,장진혁,hanwha,중견수,28,190.0,0.021,0.23
19,정은원,hanwha,중견수,6,46.0,0.005,0.06
20,정은원,hanwha,2루수,4,31.0,-0.002,-0.02
21,문현빈,hanwha,유격수,1,2.0,-0.003,-0.03
22,안치홍,hanwha,2루수,6,45.0,-0.004,-0.05
23,유로결,hanwha,중견수,2,18.0,-0.01,-0.11
24,이상혁,hanwha,중견수,2,5.2,-0.02,-0.21
25,황영묵,hanwha,유격수,32,201.0,-0.025,-0.27
26,유로결,hanwha,좌익수,2,11.0,-0.037,-0.4
27,채은성,hanwha,우익수,23,181.0,-0.051,-0.55
28,하주석,hanwha,유격수,22,127.0,-0.079,-0.86
29,장진혁,hanwha,좌익수,17,80.2,-0.087,-0.95
30,김인환,hanwha,1루수,1,6.0,-0.088,-0.95
31,하주석,hanwha,3루수,8,52.1,-0.097,-1.05
32,이진영,hanwha,우익수,6,18.0,-0.106,-1.15
33,김인환,hanwha,좌익수,1,4.0,-0.132,-1.43
34,노시환,hanwha,3루수,85,746.2,-0.143,-1.55
35,이원석,hanwha,우익수,9,27.0,-0.171,-1.85
36,페라자,hanwha,우익수,38,303.0,-0.187,-2.02
37,김태연,hanwha,2루수,6,30.2,-0.213,-2.31
38,임종찬,hanwha,중견수,16,105.0,-0.239,-2.59
39,김태연,hanwha,우익수,27,208.2,-0.293,-3.17
40,페라자,hanwha,좌익수,41,259.2,-0.389,-4.21
41,채은성,hanwha,1루수,31,251.2,-0.391,-4.23
42,문현빈,hanwha,2루수,48,323.0,-0.441,-4.78
43,김태연,hanwha,1루수,40,282.1,-0.649,-7.03
44,안치홍,hanwha,1루수,34,283.0,-0.678,-7.35
55,장규현,hanwha,포수,1,1.0,nan,nan
55,이상혁,hanwha,우익수,4,5.0,nan,nan
55,박상원,hanwha,투수,34,32.2,nan,nan
55,이명기,hanwha,좌익수,1,1.0,nan,nan
55,이상혁,hanwha,좌익수,1,2.0,nan,nan
55,주현상,hanwha,투수,38,46.1,nan,nan
55,이도윤,hanwha,3루수,1,1.0,nan,nan
55,김서현,hanwha,투수,11,12.2,nan,nan
55,황영묵,hanwha,3루수,3,3.0,nan,nan
55,이명기,hanwha,중견수,1,1.0,nan,nan
