순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,김태연,한화,0.312,80,301,260,39,81,17,0,11,131,46,3,2,33,0,3,53,4,0.504,0.393,0.897,22,0.281,0.0
2,황영묵,한화,0.303,76,255,234,34,71,7,2,3,91,28,2,1,15,0,3,34,4,0.389,0.352,0.741,19,0.319,0.0
3,안치홍,한화,0.298,93,396,352,51,105,14,0,10,149,48,0,3,36,0,5,57,5,0.423,0.369,0.792,33,0.295,0.0
4,페라자,한화,0.295,77,340,298,55,88,21,0,17,160,55,0,2,39,4,1,80,4,0.537,0.376,0.913,27,0.352,0.333
5,이재원,한화,0.291,41,89,79,4,23,2,0,0,25,9,1,2,5,1,2,12,2,0.316,0.341,0.657,5,0.348,0.0
6,박상언,한화,0.286,27,52,42,4,12,3,0,0,15,4,0,0,9,0,1,12,0,0.357,0.423,0.780,2,0.364,0.25
7,최재훈,한화,0.272,74,232,180,26,49,9,0,1,61,19,5,4,26,0,17,34,7,0.339,0.405,0.744,10,0.231,1.0
8,노시환,한화,0.271,87,391,351,58,95,13,1,18,164,61,0,0,34,7,6,84,5,0.467,0.345,0.812,23,0.295,0.0
9,최인호,한화,0.268,75,215,183,30,49,11,2,1,67,17,4,2,23,0,3,30,3,0.366,0.355,0.721,8,0.297,0.294
10,김인환,한화,0.267,9,18,15,2,4,0,0,1,7,3,0,0,2,0,1,5,0,0.467,0.389,0.856,1,0.25,0.25
11,이도윤,한화,0.263,88,253,224,30,59,4,2,0,67,29,3,3,21,0,2,36,4,0.299,0.328,0.627,15,0.343,0.4
12,이원석,한화,0.253,53,112,99,15,25,3,1,0,30,9,1,1,11,0,0,24,3,0.303,0.324,0.627,6,0.25,0.0
13,문현빈,한화,0.251,69,195,175,21,44,8,2,4,68,24,1,1,17,0,1,41,7,0.389,0.320,0.709,9,0.263,0.278
14,채은성,한화,0.247,76,314,283,31,70,15,0,9,112,49,0,2,25,1,4,56,7,0.396,0.315,0.711,19,0.267,0.0
15,장진혁,한화,0.241,50,155,133,32,32,5,0,4,49,19,3,1,16,0,2,39,1,0.368,0.329,0.697,6,0.278,0.0
16,하주석,한화,0.235,37,91,81,5,19,4,0,0,23,4,2,0,7,0,1,25,0,0.284,0.303,0.587,3,0.231,0.2
17,김강민,한화,0.224,41,87,76,5,17,0,0,1,20,7,0,0,8,0,3,21,1,0.263,0.322,0.585,4,0.2,0.182
18,유로결,한화,0.214,8,16,14,3,3,0,0,0,3,1,0,0,2,0,0,2,1,0.214,0.313,0.527,0,0.167,0.0
19,이상혁,한화,0.200,19,5,5,8,1,0,0,0,1,0,0,0,0,0,0,1,0,0.200,0.200,0.400,0,0.0,0.333
19,이진영,한화,0.200,23,63,55,9,11,4,0,0,15,8,0,0,6,0,2,18,1,0.273,0.302,0.575,3,0.294,0.5
21,정은원,한화,0.172,27,78,64,10,11,3,1,1,19,6,1,0,13,0,0,16,0,0.297,0.312,0.609,2,0.2,0.25
22,임종찬,한화,0.158,24,64,57,10,9,3,2,0,16,7,0,0,6,0,1,19,2,0.281,0.250,0.531,2,0.19,0.0
23,김서현,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,박상원,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,이명기,한화,0.000,4,8,7,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0.000,0.000,0.000,0,0.0,0.0
23,장규현,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,주현상,한화,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
