순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,김태연,한화,0.312,28,61,67,0.91,2,0.62,3.92,0.192,49.6,0.303
2,황영묵,한화,0.303,12,78,52,1.50,4,0.44,3.68,0.085,29.7,0.256
3,안치홍,한화,0.298,24,87,106,0.82,6,0.63,3.91,0.125,55.4,0.272
4,페라자,한화,0.295,38,66,66,1.00,4,0.49,3.96,0.242,57.2,0.303
5,이재원,한화,0.291,2,20,26,0.77,0,0.42,3.25,0.025,9.1,0.232
6,박상언,한화,0.286,3,6,12,0.50,0,0.75,4.02,0.071,7.4,0.28
7,최재훈,한화,0.272,10,49,52,0.94,0,0.76,4.19,0.067,29.1,0.267
8,노시환,한화,0.271,32,80,92,0.87,4,0.40,3.84,0.197,56.1,0.272
9,최인호,한화,0.268,14,58,48,1.21,3,0.77,3.96,0.098,25.6,0.251
10,김인환,한화,0.267,1,2,4,0.50,0,0.40,3.67,0.200,2.9,0.292
11,이도윤,한화,0.263,6,67,65,1.03,5,0.58,3.81,0.036,24.0,0.222
12,이원석,한화,0.253,4,26,25,1.04,0,0.46,3.88,0.051,10.3,0.222
13,문현빈,한화,0.251,14,46,45,1.02,2,0.41,3.77,0.137,19.5,0.241
14,채은성,한화,0.247,24,66,93,0.71,2,0.45,3.73,0.148,34.9,0.241
15,장진혁,한화,0.241,9,35,28,1.25,1,0.41,4.17,0.128,18.0,0.24
16,하주석,한화,0.235,4,20,17,1.18,0,0.28,3.49,0.049,6.9,0.207
17,김강민,한화,0.224,1,14,24,0.58,0,0.38,3.72,0.039,7.3,0.211
18,유로결,한화,0.214,0,5,4,1.25,0,1.00,3.69,0.000,0.5,0.194
19,이상혁,한화,0.200,0,3,0,-,0,0.00,3.00,0.000,0.7,0.14
19,이진영,한화,0.200,4,14,12,1.17,0,0.33,4.27,0.073,4.6,0.204
21,정은원,한화,0.172,5,22,15,1.47,0,0.81,4.37,0.125,7.6,0.215
22,임종찬,한화,0.158,5,12,17,0.71,2,0.32,3.66,0.123,3.1,0.183
23,김서현,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
23,박상원,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
23,이명기,한화,0.000,0,2,2,1.00,0,0.00,3.63,0.000,-0.6,0.0
23,장규현,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
23,주현상,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
