순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,장진혁,한화,50,13,9,4,69.2,0,1
2,페라자,한화,77,12,7,5,58.3,5,0
3,이도윤,한화,88,9,6,3,66.7,2,0
4,노시환,한화,87,5,5,0,100,3,0
5,이원석,한화,53,5,4,1,80.0,2,0
6,김태연,한화,80,5,3,2,60.0,4,0
6,안치홍,한화,93,5,3,2,60.0,1,0
6,이상혁,한화,19,3,3,0,100,0,1
6,황영묵,한화,76,9,3,6,33.3,1,0
10,문현빈,한화,69,6,2,4,33.3,2,0
10,정은원,한화,27,2,2,0,100,1,0
10,최인호,한화,75,2,2,0,100,3,0
13,박상언,한화,27,1,1,0,100,0,0
13,채은성,한화,76,2,1,1,50.0,4,0
13,하주석,한화,37,3,1,2,33.3,2,0
16,김강민,한화,41,0,0,0,-,0,0
16,김서현,한화,1,0,0,0,-,0,0
16,김인환,한화,9,0,0,0,-,0,0
16,박상원,한화,1,0,0,0,-,0,0
16,유로결,한화,8,1,0,1,0.0,0,1
16,이명기,한화,4,0,0,0,-,0,0
16,이재원,한화,41,0,0,0,-,2,0
16,이진영,한화,23,0,0,0,-,0,0
16,임종찬,한화,24,1,0,1,0.0,0,1
16,장규현,한화,1,0,0,0,-,0,0
16,주현상,한화,2,0,0,0,-,0,0
16,최재훈,한화,74,0,0,0,-,1,0
