순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,김혜성,kiwoom,2루수,74,631.2,0.915,9.91
2,송성문,kiwoom,3루수,62,469.2,0.914,9.9
3,김태진,kiwoom,유격수,22,149.0,0.785,8.51
4,김재현,kiwoom,포수,75,527.1,0.513,5.56
5,송성문,kiwoom,2루수,13,103.2,0.357,3.87
6,김휘집,kiwoom,유격수,44,338.1,0.312,3.38
7,변상권,kiwoom,우익수,9,51.2,0.279,3.02
8,김건희,kiwoom,포수,35,205.1,0.199,2.16
9,도슨,kiwoom,좌익수,56,437.2,0.164,1.78
10,변상권,kiwoom,좌익수,14,93.0,0.158,1.71
11,김태진,kiwoom,좌익수,8,35.0,0.154,1.67
12,이주형,kiwoom,중견수,11,59.2,0.134,1.45
13,김주형,kiwoom,유격수,15,50.0,0.116,1.25
14,이용규,kiwoom,우익수,13,94.0,0.104,1.13
15,고영우,kiwoom,2루수,9,43.0,0.086,0.93
16,김시앙,kiwoom,포수,6,19.1,0.062,0.67
17,이주형,kiwoom,우익수,37,280.1,0.058,0.63
18,주성원,kiwoom,좌익수,2,16.0,0.055,0.59
19,원성준,kiwoom,좌익수,2,5.0,0.054,0.59
20,김태진,kiwoom,2루수,6,19.0,0.045,0.49
21,임병욱,kiwoom,우익수,4,11.0,0.041,0.45
22,박주홍,kiwoom,우익수,2,6.0,0.038,0.42
23,김휘집,kiwoom,3루수,9,53.0,0.037,0.4
24,박성빈,kiwoom,포수,6,27.0,0.034,0.36
25,주성원,kiwoom,우익수,14,76.0,0.021,0.23
26,이용규,kiwoom,좌익수,18,141.2,0.014,0.16
27,김주형,kiwoom,2루수,2,3.0,0.009,0.09
28,송지후,kiwoom,2루수,1,3.0,-0.005,-0.05
29,이승원,kiwoom,유격수,2,9.0,-0.022,-0.24
30,김태진,kiwoom,우익수,2,6.0,-0.03,-0.33
31,예진원,kiwoom,좌익수,6,19.0,-0.044,-0.48
32,임병욱,kiwoom,중견수,16,83.0,-0.048,-0.52
33,임병욱,kiwoom,좌익수,1,9.0,-0.059,-0.63
34,이형종,kiwoom,우익수,25,185.2,-0.092,-1.0
35,박수종,kiwoom,좌익수,4,4.0,-0.093,-1.01
36,이용규,kiwoom,중견수,17,98.0,-0.099,-1.07
37,박준형,kiwoom,포수,4,12.1,-0.128,-1.39
38,박수종,kiwoom,우익수,7,12.0,-0.13,-1.41
39,고영우,kiwoom,유격수,14,67.0,-0.133,-1.44
40,도슨,kiwoom,중견수,25,185.2,-0.134,-1.45
41,임지열,kiwoom,좌익수,8,39.0,-0.151,-1.63
42,이주형,kiwoom,좌익수,1,4.0,-0.164,-1.77
42,김동헌,kiwoom,포수,2,14.0,-0.164,-1.77
44,박수종,kiwoom,중견수,34,164.2,-0.167,-1.8
45,예진원,kiwoom,중견수,11,23.0,-0.208,-2.25
46,예진원,kiwoom,우익수,5,16.2,-0.215,-2.32
47,장재영,kiwoom,중견수,17,126.1,-0.237,-2.57
48,최주환,kiwoom,1루수,76,632.1,-0.257,-2.78
49,임지열,kiwoom,우익수,9,66.0,-0.277,-3.0
50,이원석,kiwoom,1루수,12,87.0,-0.297,-3.22
51,원성준,kiwoom,중견수,10,65.0,-0.329,-3.56
52,송성문,kiwoom,1루수,19,86.0,-0.348,-3.77
53,이재상,kiwoom,유격수,29,188.0,-0.556,-6.02
54,고영우,kiwoom,3루수,43,281.2,-0.611,-6.62
67,김병휘,kiwoom,유격수,2,3.0,nan,nan
67,김연주,kiwoom,투수,13,11.1,nan,nan
67,문성현,kiwoom,투수,36,33.1,nan,nan
67,박주홍,kiwoom,좌익수,2,2.0,nan,nan
67,신준우,kiwoom,유격수,1,1.0,nan,nan
67,주승우,kiwoom,투수,33,29.2,nan,nan
67,양지율,kiwoom,투수,6,6.2,nan,nan
67,김윤하,kiwoom,투수,9,20.1,nan,nan
67,김병휘,kiwoom,2루수,2,2.0,nan,nan
67,김선기,kiwoom,투수,21,48.0,nan,nan
67,김주형,kiwoom,3루수,1,1.0,nan,nan
67,김재웅,kiwoom,투수,26,23.2,nan,nan
