순위,선수명,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
1,김재현,키움,포수,70,53,497 1/3,6,1,405,36,6,0.987,4,39,17,30.4
1,김혜성,키움,2루수,70,69,600 2/3,12,0,151,205,55,0.967,0,0,0,-
1,최주환,키움,1루수,70,65,579 1/3,5,0,509,37,58,0.991,0,0,0,-
4,송성문,키움,3루수,58,48,432 2/3,1,0,39,78,10,0.992,0,0,0,-
5,도슨,키움,좌익수,51,45,393 2/3,2,0,107,0,0,0.982,0,0,0,-
6,조상우,키움,투수,42,0,38 2/3,0,0,1,3,0,1.0,0,0,0,-
7,고영우,키움,3루수,41,31,265 2/3,4,0,20,44,4,0.941,0,0,0,-
8,문성현,키움,투수,35,0,31 2/3,0,0,2,1,1,1.0,0,0,0,-
9,김성민,키움,투수,32,0,34,0,0,0,5,0,1.0,0,0,0,-
9,박수종,키움,중견수,32,15,157 2/3,2,0,44,0,0,0.957,0,0,0,-
9,이주형,키움,우익수,32,29,247,2,0,61,1,0,0.969,0,0,0,-
12,김건희,키움,포수,30,22,182 1/3,2,0,107,11,0,0.983,1,20,5,20.0
12,주승우,키움,투수,30,0,27,0,0,3,7,0,1.0,0,0,0,-
14,이재상,키움,유격수,29,22,188,4,0,39,45,12,0.955,0,0,0,-
15,김재웅,키움,투수,26,0,23 2/3,0,0,0,5,1,1.0,0,0,0,-
16,도슨,키움,중견수,25,22,185 2/3,0,0,58,0,0,1.0,0,0,0,-
17,김선기,키움,투수,21,5,45,0,0,0,8,0,1.0,0,0,0,-
17,이형종,키움,우익수,21,21,171,1,0,49,0,0,0.98,0,0,0,-
19,송성문,키움,1루수,19,8,86,0,0,73,5,14,1.0,0,0,0,-
20,이용규,키움,좌익수,18,16,141 2/3,0,0,41,0,0,1.0,0,0,0,-
20,헤이수스,키움,투수,18,18,103 1/3,1,0,1,9,1,0.909,0,0,0,-
20,후라도,키움,투수,18,18,112 1/3,0,0,9,10,0,1.0,0,0,0,-
23,김인범,키움,투수,16,11,56,1,0,1,8,0,0.9,0,0,0,-
23,김태진,키움,유격수,16,12,111,1,0,20,34,10,0.982,0,0,0,-
23,이용규,키움,중견수,16,10,91,0,0,28,0,0,1.0,0,0,0,-
23,전준표,키움,투수,16,3,21,1,0,1,1,1,0.667,0,0,0,-
23,하영민,키움,투수,16,16,82 2/3,0,0,6,11,1,1.0,0,0,0,-
28,박윤성,키움,투수,15,0,16 2/3,0,0,0,1,0,1.0,0,0,0,-
28,임병욱,키움,중견수,15,9,78,1,0,20,0,0,0.952,0,0,0,-
30,고영우,키움,유격수,14,7,67,1,0,5,20,3,0.962,0,0,0,-
30,변상권,키움,좌익수,14,12,93,0,0,26,0,0,1.000,0,0,0,-
30,장재영,키움,중견수,14,14,112,0,0,22,1,0,1.000,0,0,0,-
30,주성원,키움,우익수,14,9,76,2,0,25,1,1,0.929,0,0,0,-
34,오석주,키움,투수,13,0,13,0,0,0,2,0,1.000,0,0,0,-
34,이용규,키움,우익수,13,10,94,1,0,25,0,0,0.962,0,0,0,-
36,이원석,키움,1루수,12,12,87,2,0,85,4,5,0.978,0,0,0,-
