순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,도슨,키움,0.359,79,357,320,64,115,29,2,10,178,44,0,1,31,0,5,47,9,0.556,0.423,0.979,36,0.311,0.5
2,송성문,키움,0.350,81,324,280,41,98,13,3,9,144,58,0,7,36,0,1,33,2,0.514,0.417,0.931,27,0.368,0.333
3,김혜성,키움,0.340,75,338,300,56,102,18,3,10,156,49,0,3,31,1,4,28,5,0.520,0.405,0.925,29,0.389,0.0
4,고영우,키움,0.295,56,170,149,16,44,6,0,0,50,19,1,2,18,0,0,34,2,0.336,0.367,0.703,11,0.378,0.333
5,김건희,키움,0.295,29,86,78,9,23,3,0,1,29,12,0,1,7,0,0,29,3,0.372,0.349,0.721,6,0.348,0.2
6,이용규,키움,0.293,47,180,147,18,43,3,1,1,51,9,3,1,24,0,5,28,3,0.347,0.407,0.754,9,0.179,0.5
7,원성준,키움,0.290,13,34,31,6,9,3,0,1,15,5,0,1,2,0,0,12,0,0.484,0.324,0.808,3,0.4,0.5
8,이주형,키움,0.276,54,249,217,44,60,9,2,7,94,30,0,1,25,1,6,57,1,0.433,0.365,0.798,15,0.241,0.0
9,변상권,키움,0.257,42,114,105,7,27,1,0,3,37,12,0,1,8,0,0,26,3,0.352,0.307,0.659,8,0.217,0.214
10,김재현,키움,0.251,69,215,191,21,48,10,0,0,58,24,6,4,7,0,7,41,5,0.304,0.297,0.601,9,0.25,0.0
11,임병욱,키움,0.250,20,39,36,5,9,1,0,0,10,3,0,0,3,0,0,11,1,0.278,0.308,0.586,1,0.5,0.333
12,이형종,키움,0.247,23,94,77,19,19,3,0,4,34,17,0,0,16,0,1,19,0,0.442,0.383,0.825,3,0.429,0.0
13,주성원,키움,0.233,20,48,43,7,10,1,0,1,14,5,1,0,4,0,0,14,2,0.326,0.298,0.624,1,0.3,0.2
14,최주환,키움,0.224,73,301,272,26,61,13,0,6,92,42,0,6,20,1,3,53,9,0.338,0.279,0.617,16,0.228,0.0
15,이원석,키움,0.220,39,109,91,5,20,4,0,0,24,8,0,2,14,0,2,18,2,0.264,0.330,0.594,5,0.185,0.25
16,이재상,키움,0.219,29,77,73,7,16,1,0,1,20,5,1,0,1,0,2,28,0,0.274,0.250,0.524,4,0.143,0.0
17,예진원,키움,0.211,22,21,19,2,4,1,0,0,5,0,0,0,2,0,0,8,1,0.263,0.286,0.549,0,0.0,0.0
18,김태진,키움,0.203,32,78,74,5,15,3,0,0,18,3,2,0,2,1,0,9,0,0.243,0.224,0.467,4,0.19,0.154
19,김동헌,키움,0.200,2,7,5,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0.200,0.429,0.629,0,1.0,0.0
20,박수종,키움,0.194,39,70,62,10,12,1,0,0,13,3,1,0,5,0,2,5,1,0.210,0.275,0.485,3,0.214,0.0
21,장재영,키움,0.184,12,46,38,4,7,2,0,1,12,4,0,0,6,0,2,24,2,0.316,0.326,0.642,1,0.273,0.0
22,김시앙,키움,0.143,6,7,7,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.143,0.143,0.286,0,0.0,0.0
22,김주형,키움,0.143,12,11,7,0,1,0,0,0,1,1,1,0,1,0,2,4,0,0.143,0.400,0.543,0,0.5,0.0
24,박성빈,키움,0.125,6,9,8,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0.125,0.222,0.347,0,0.0,0.0
25,임지열,키움,0.102,22,57,49,4,5,0,0,1,8,5,0,1,7,0,0,16,2,0.163,0.211,0.374,1,0.0,0.0
26,김웅빈,키움,0.077,6,18,13,1,1,0,0,0,1,1,1,0,3,0,1,6,0,0.077,0.294,0.371,0,0.0,0.0
27,김병휘,키움,-,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,김선기,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,김연주,키움,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,김윤하,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,김재웅,키움,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,문성현,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,박주홍,키움,0.000,3,7,6,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.000,0.143,0.143,0,0.0,0.0
27,박준형,키움,0.000,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.000,0.000,0.000,0,0.0,0.0
27,송지후,키움,0.000,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
27,신준우,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,양지율,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,이승원,키움,0.000,3,5,4,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0
27,주승우,키움,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
