순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
1,도슨,키움,0.359,79,357,320,64,115,29,2,10,178,44,0,1
2,송성문,키움,0.350,81,324,280,41,98,13,3,9,144,58,0,7
3,김혜성,키움,0.340,75,338,300,56,102,18,3,10,156,49,0,3
4,고영우,키움,0.295,56,170,149,16,44,6,0,0,50,19,1,2
5,김건희,키움,0.295,29,86,78,9,23,3,0,1,29,12,0,1
6,이용규,키움,0.293,47,180,147,18,43,3,1,1,51,9,3,1
7,원성준,키움,0.290,13,34,31,6,9,3,0,1,15,5,0,1
8,이주형,키움,0.276,54,249,217,44,60,9,2,7,94,30,0,1
9,변상권,키움,0.257,42,114,105,7,27,1,0,3,37,12,0,1
10,김재현,키움,0.251,69,215,191,21,48,10,0,0,58,24,6,4
11,임병욱,키움,0.250,20,39,36,5,9,1,0,0,10,3,0,0
12,이형종,키움,0.247,23,94,77,19,19,3,0,4,34,17,0,0
13,주성원,키움,0.233,20,48,43,7,10,1,0,1,14,5,1,0
14,최주환,키움,0.224,73,301,272,26,61,13,0,6,92,42,0,6
15,이원석,키움,0.220,39,109,91,5,20,4,0,0,24,8,0,2
16,이재상,키움,0.219,29,77,73,7,16,1,0,1,20,5,1,0
17,예진원,키움,0.211,22,21,19,2,4,1,0,0,5,0,0,0
18,김태진,키움,0.203,32,78,74,5,15,3,0,0,18,3,2,0
19,김동헌,키움,0.200,2,7,5,0,1,0,0,0,1,1,0,0
20,박수종,키움,0.194,39,70,62,10,12,1,0,0,13,3,1,0
21,장재영,키움,0.184,12,46,38,4,7,2,0,1,12,4,0,0
22,김시앙,키움,0.143,6,7,7,1,1,0,0,0,1,0,0,0
22,김주형,키움,0.143,12,11,7,0,1,0,0,0,1,1,1,0
24,박성빈,키움,0.125,6,9,8,0,1,0,0,0,1,0,0,0
25,임지열,키움,0.102,22,57,49,4,5,0,0,1,8,5,0,1
26,김웅빈,키움,0.077,6,18,13,1,1,0,0,0,1,1,1,0
27,김병휘,키움,-,5,0,0,0,0,0,0,0,0,0,0,0
27,김선기,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
27,김연주,키움,-,4,0,0,0,0,0,0,0,0,0,0,0
27,김윤하,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
27,김재웅,키움,-,2,0,0,0,0,0,0,0,0,0,0,0
27,문성현,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
27,박주홍,키움,0.000,3,7,6,0,0,0,0,0,0,0,0,0
27,박준형,키움,0.000,4,5,5,0,0,0,0,0,0,0,0,0
27,송지후,키움,0.000,2,1,1,1,0,0,0,0,0,0,0,0
27,신준우,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
27,양지율,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
27,이승원,키움,0.000,3,5,4,0,0,0,0,0,0,0,1,0
27,주승우,키움,-,3,0,0,0,0,0,0,0,0,0,0,0
