순위,선수명,팀명,타율,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,도슨,키움,0.359,31,0,5,47,9,0.556,0.423,0.979,36,0.311,0.5
2,송성문,키움,0.350,36,0,1,33,2,0.514,0.417,0.931,27,0.368,0.333
3,김혜성,키움,0.340,31,1,4,28,5,0.520,0.405,0.925,29,0.389,0.0
4,고영우,키움,0.295,18,0,0,34,2,0.336,0.367,0.703,11,0.378,0.333
5,김건희,키움,0.295,7,0,0,29,3,0.372,0.349,0.721,6,0.348,0.2
6,이용규,키움,0.293,24,0,5,28,3,0.347,0.407,0.754,9,0.179,0.5
7,원성준,키움,0.290,2,0,0,12,0,0.484,0.324,0.808,3,0.4,0.5
8,이주형,키움,0.276,25,1,6,57,1,0.433,0.365,0.798,15,0.241,0.0
9,변상권,키움,0.257,8,0,0,26,3,0.352,0.307,0.659,8,0.217,0.214
10,김재현,키움,0.251,7,0,7,41,5,0.304,0.297,0.601,9,0.25,0.0
11,임병욱,키움,0.250,3,0,0,11,1,0.278,0.308,0.586,1,0.5,0.333
12,이형종,키움,0.247,16,0,1,19,0,0.442,0.383,0.825,3,0.429,0.0
13,주성원,키움,0.233,4,0,0,14,2,0.326,0.298,0.624,1,0.3,0.2
14,최주환,키움,0.224,20,1,3,53,9,0.338,0.279,0.617,16,0.228,0.0
15,이원석,키움,0.220,14,0,2,18,2,0.264,0.330,0.594,5,0.185,0.25
16,이재상,키움,0.219,1,0,2,28,0,0.274,0.250,0.524,4,0.143,0.0
17,예진원,키움,0.211,2,0,0,8,1,0.263,0.286,0.549,0,0.0,0.0
18,김태진,키움,0.203,2,1,0,9,0,0.243,0.224,0.467,4,0.19,0.154
19,김동헌,키움,0.200,1,0,1,0,0,0.200,0.429,0.629,0,1.0,0.0
20,박수종,키움,0.194,5,0,2,5,1,0.210,0.275,0.485,3,0.214,0.0
21,장재영,키움,0.184,6,0,2,24,2,0.316,0.326,0.642,1,0.273,0.0
22,김시앙,키움,0.143,0,0,0,1,0,0.143,0.143,0.286,0,0.0,0.0
22,김주형,키움,0.143,1,0,2,4,0,0.143,0.400,0.543,0,0.5,0.0
24,박성빈,키움,0.125,1,0,0,2,0,0.125,0.222,0.347,0,0.0,0.0
25,임지열,키움,0.102,7,0,0,16,2,0.163,0.211,0.374,1,0.0,0.0
26,김웅빈,키움,0.077,3,0,1,6,0,0.077,0.294,0.371,0,0.0,0.0
27,김병휘,키움,-,0,0,0,0,0,-,-,-,0,0.0,0.0
27,김선기,키움,-,0,0,0,0,0,-,-,-,0,0.0,0.0
27,김연주,키움,-,0,0,0,0,0,-,-,-,0,0.0,0.0
27,김윤하,키움,-,0,0,0,0,0,-,-,-,0,0.0,0.0
27,김재웅,키움,-,0,0,0,0,0,-,-,-,0,0.0,0.0
27,문성현,키움,-,0,0,0,0,0,-,-,-,0,0.0,0.0
27,박주홍,키움,0.000,1,0,0,2,0,0.000,0.143,0.143,0,0.0,0.0
27,박준형,키움,0.000,0,0,0,3,0,0.000,0.000,0.000,0,0.0,0.0
27,송지후,키움,0.000,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
27,신준우,키움,-,0,0,0,0,0,-,-,-,0,0.0,0.0
27,양지율,키움,-,0,0,0,0,0,-,-,-,0,0.0,0.0
27,이승원,키움,0.000,0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0
27,주승우,키움,-,0,0,0,0,0,-,-,-,0,0.0,0.0
