순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,도슨,키움,0.359,41,76,83,0.92,8,0.66,3.71,0.197,64.5,0.329
2,송성문,키움,0.350,25,71,85,0.84,4,1.09,3.77,0.164,61.0,0.316
3,김혜성,키움,0.340,31,80,93,0.86,7,1.11,3.91,0.180,61.3,0.312
4,고영우,키움,0.295,6,30,43,0.70,2,0.53,3.88,0.040,19.8,0.249
5,김건희,키움,0.295,4,16,11,1.45,0,0.24,3.91,0.077,9.6,0.25
6,이용규,키움,0.293,5,42,35,1.20,1,0.86,4.00,0.054,23.3,0.27
7,원성준,키움,0.290,4,5,6,0.83,1,0.17,4.59,0.194,5.3,0.267
8,이주형,키움,0.276,18,46,55,0.84,3,0.44,3.87,0.157,35.5,0.273
9,변상권,키움,0.257,4,27,26,1.04,1,0.31,4.06,0.095,11.3,0.226
10,김재현,키움,0.251,10,58,48,1.21,0,0.17,3.49,0.052,17.6,0.21
11,임병욱,키움,0.250,1,7,9,0.78,0,0.27,3.49,0.028,3.0,0.208
12,이형종,키움,0.247,7,15,24,0.63,2,0.84,3.90,0.195,14.5,0.283
13,주성원,키움,0.233,2,12,7,1.71,0,0.29,4.21,0.093,3.7,0.216
14,최주환,키움,0.224,19,62,102,0.61,3,0.38,4.05,0.114,25.9,0.21
15,이원석,키움,0.220,4,19,36,0.53,2,0.78,3.86,0.044,9.8,0.215
16,이재상,키움,0.219,2,15,14,1.07,0,0.04,3.58,0.055,4.9,0.181
17,예진원,키움,0.211,1,6,1,6.00,0,0.25,3.86,0.053,1.1,0.194
18,김태진,키움,0.203,3,23,27,0.85,0,0.22,3.03,0.041,3.4,0.162
19,김동헌,키움,0.200,0,2,2,1.00,0,-,2.86,0.000,0.8,0.243
20,박수종,키움,0.194,1,20,25,0.80,0,1.00,3.63,0.016,3.7,0.176
21,장재영,키움,0.184,3,5,2,2.50,0,0.25,3.98,0.132,3.9,0.226
22,김시앙,키움,0.143,0,3,2,1.50,0,0.00,2.43,0.000,0.0,0.1
22,김주형,키움,0.143,0,2,0,-,0,0.25,3.91,0.000,1.0,0.216
24,박성빈,키움,0.125,0,3,2,1.50,0,0.50,2.78,0.000,0.2,0.131
25,임지열,키움,0.102,1,13,16,0.81,0,0.44,4.25,0.061,1.4,0.136
26,김웅빈,키움,0.077,0,1,5,0.20,0,0.50,4.22,0.000,0.8,0.152
27,김병휘,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
27,김선기,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
27,김연주,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
27,김윤하,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
27,김재웅,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
27,문성현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
27,박주홍,키움,0.000,0,1,3,0.33,0,0.50,4.29,0.000,-0.2,0.064
27,박준형,키움,0.000,0,1,1,1.00,0,0.00,3.20,0.000,-0.5,0.0
27,송지후,키움,0.000,0,1,0,-,0,-,1.00,0.000,-0.1,0.0
27,신준우,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
27,양지율,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
27,이승원,키움,0.000,0,2,0,-,0,0.00,3.00,0.000,-0.3,0.0
27,주승우,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
