순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,유강남,lotte,포수,50,324.2,0.591,6.4
2,최항,lotte,2루수,37,204.1,0.456,4.94
3,신윤후,lotte,우익수,12,60.0,0.434,4.7
4,황성빈,lotte,좌익수,29,133.0,0.418,4.53
5,노진혁,lotte,3루수,13,80.0,0.224,2.43
6,김동혁,lotte,중견수,19,42.0,0.202,2.19
7,고승민,lotte,2루수,51,397.1,0.181,1.96
8,손성빈,lotte,포수,46,223.0,0.158,1.71
9,윤동희,lotte,중견수,49,386.0,0.121,1.31
10,장두성,lotte,중견수,6,16.0,0.086,0.93
11,정보근,lotte,포수,46,218.1,0.081,0.88
11,정대선,lotte,2루수,2,4.0,0.081,0.88
13,오선진,lotte,3루수,14,41.2,0.062,0.67
14,이주찬,lotte,유격수,3,5.0,0.061,0.66
14,김민석,lotte,좌익수,19,122.0,0.061,0.66
16,김민성,lotte,2루수,3,12.0,0.055,0.6
17,손호영,lotte,2루수,18,108.1,0.054,0.59
18,장두성,lotte,우익수,9,14.2,0.039,0.42
19,황성빈,lotte,우익수,2,4.0,0.036,0.39
20,오선진,lotte,유격수,1,2.0,0.03,0.32
21,고승민,lotte,우익수,6,31.0,0.024,0.26
22,레이예스,lotte,중견수,1,2.0,0.021,0.22
23,박승욱,lotte,2루수,18,54.0,0.018,0.19
24,오선진,lotte,2루수,4,17.0,0.009,0.1
25,이학주,lotte,3루수,3,5.2,0.001,0.01
25,고승민,lotte,좌익수,13,86.0,0.001,0.01
27,정훈,lotte,좌익수,1,2.0,-0.001,-0.01
28,정훈,lotte,2루수,2,3.0,-0.009,-0.1
28,김민성,lotte,3루수,29,162.1,-0.009,-0.1
30,김동혁,lotte,우익수,4,7.2,-0.012,-0.12
30,박승욱,lotte,유격수,61,432.0,-0.012,-0.13
32,이정훈,lotte,좌익수,1,2.0,-0.014,-0.15
33,이호준,lotte,2루수,1,2.0,-0.026,-0.28
34,최항,lotte,3루수,9,42.0,-0.033,-0.35
35,고승민,lotte,1루수,5,11.0,-0.052,-0.56
36,장두성,lotte,좌익수,5,15.0,-0.053,-0.58
37,서동욱,lotte,포수,11,35.0,-0.061,-0.66
38,노진혁,lotte,유격수,17,83.2,-0.062,-0.67
39,김민석,lotte,중견수,3,23.1,-0.072,-0.78
40,정훈,lotte,3루수,13,70.1,-0.076,-0.83
41,최항,lotte,1루수,9,19.1,-0.097,-1.05
42,레이예스,lotte,우익수,45,362.2,-0.17,-1.84
43,노진혁,lotte,1루수,4,19.0,-0.171,-1.85
44,손호영,lotte,유격수,6,39.0,-0.265,-2.87
45,한동희,lotte,3루수,6,32.1,-0.297,-3.21
46,정훈,lotte,1루수,31,240.0,-0.342,-3.7
47,박승욱,lotte,3루수,27,123.2,-0.349,-3.78
48,레이예스,lotte,좌익수,33,251.2,-0.354,-3.83
49,손호영,lotte,3루수,28,197.2,-0.407,-4.41
50,전준우,lotte,좌익수,23,187.1,-0.416,-4.51
51,윤동희,lotte,우익수,41,322.0,-0.478,-5.18
52,이학주,lotte,유격수,40,238.1,-0.502,-5.44
53,이주찬,lotte,3루수,10,46.1,-0.531,-5.76
54,황성빈,lotte,중견수,46,329.0,-0.549,-5.95
55,나승엽,lotte,1루수,63,512.2,-0.99,-10.72
63,이정훈,lotte,포수,1,1.0,nan,nan
63,이선우,lotte,중견수,2,2.2,nan,nan
63,이호준,lotte,유격수,1,1.0,nan,nan
63,김원중,lotte,투수,33,37.2,nan,nan
63,강성우,lotte,유격수,1,1.0,nan,nan
63,신윤후,lotte,중견수,1,1.0,nan,nan
63,추재현,lotte,좌익수,2,3.0,nan,nan
