순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,강성우,롯데,0.500,2,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.500,1.000,0,0.0,0.0
2,레이예스,롯데,0.358,92,399,363,54,130,24,2,10,188,78,0,7,28,0,1,55,9,0.518,0.398,0.916,37,0.423,0.0
3,이정훈,롯데,0.316,42,93,79,10,25,7,0,0,32,17,1,2,11,1,0,18,3,0.405,0.391,0.796,4,0.393,0.278
4,황성빈,롯데,0.314,77,250,223,61,70,4,4,4,94,17,5,1,19,0,2,32,2,0.422,0.371,0.793,21,0.256,0.0
5,손호영,롯데,0.312,51,202,186,32,58,12,2,8,98,37,1,1,10,1,4,31,3,0.527,0.358,0.885,18,0.356,0.0
6,나승엽,롯데,0.307,69,273,231,32,71,21,3,3,107,33,0,3,37,0,2,50,2,0.463,0.403,0.866,18,0.321,0.333
7,윤동희,롯데,0.303,89,384,333,65,101,24,3,6,149,47,2,3,44,0,2,64,6,0.447,0.385,0.832,27,0.326,0.333
8,고승민,롯데,0.293,68,296,263,47,77,14,2,6,113,45,0,4,28,0,1,48,4,0.430,0.358,0.788,20,0.348,1.0
9,전준우,롯데,0.286,57,253,224,29,64,14,1,11,113,44,1,1,24,0,3,39,6,0.504,0.361,0.865,19,0.211,0.0
10,이학주,롯데,0.263,43,105,95,13,25,2,2,2,37,4,2,0,6,0,2,44,0,0.389,0.320,0.709,6,0.15,0.0
11,박승욱,롯데,0.259,90,283,247,33,64,13,1,4,91,31,2,1,26,2,7,73,4,0.368,0.345,0.713,17,0.237,0.0
12,정훈,롯데,0.258,64,219,194,23,50,13,0,8,87,34,1,2,22,0,0,41,2,0.448,0.330,0.778,13,0.277,0.111
13,한동희,롯데,0.257,14,36,35,1,9,2,0,0,11,3,0,0,1,1,0,9,1,0.314,0.278,0.592,1,0.182,0.333
14,최항,롯데,0.250,60,133,124,14,31,3,1,0,36,12,0,0,9,0,0,29,3,0.290,0.301,0.591,7,0.244,0.25
15,정보근,롯데,0.226,47,88,84,5,19,0,1,2,27,5,2,0,2,0,0,18,3,0.321,0.244,0.565,2,0.222,0.0
16,김민석,롯데,0.203,32,80,74,10,15,3,1,0,20,6,1,0,2,0,3,19,4,0.270,0.253,0.523,2,0.3,0.143
17,김동혁,롯데,0.200,31,17,15,6,3,0,1,0,5,1,0,0,2,0,0,5,0,0.333,0.294,0.627,0,0.333,0.0
17,김민성,롯데,0.200,35,84,70,6,14,5,0,2,25,8,0,1,10,0,3,18,1,0.357,0.321,0.678,1,0.2,0.429
19,손성빈,롯데,0.195,47,90,82,15,16,3,2,3,32,8,0,0,7,0,1,22,3,0.390,0.267,0.657,3,0.13,0.0
20,유강남,롯데,0.191,52,155,136,11,26,3,0,5,44,20,2,1,9,0,7,25,4,0.324,0.275,0.599,5,0.234,0.0
21,오선진,롯데,0.188,18,23,16,0,3,1,0,0,4,0,3,0,2,0,2,7,0,0.250,0.350,0.600,0,0.2,0.0
22,노진혁,롯데,0.185,40,94,81,6,15,3,0,0,18,9,1,2,9,0,1,22,1,0.222,0.269,0.491,1,0.2,0.25
23,이주찬,롯데,0.174,14,24,23,6,4,1,0,1,8,2,0,0,1,0,0,9,1,0.348,0.208,0.556,0,0.25,0.5
24,서동욱,롯데,0.143,12,15,14,1,2,1,0,0,3,0,0,0,0,0,1,4,0,0.214,0.200,0.414,0,0.0,1.0
24,신윤후,롯데,0.143,16,24,21,3,3,0,0,0,3,1,1,0,1,0,1,3,1,0.143,0.217,0.360,0,0.2,0.0
24,장두성,롯데,0.143,28,18,14,9,2,0,0,0,2,0,0,0,2,0,2,5,0,0.143,0.333,0.476,0,0.0,0.0
27,김원중,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,백두산,롯데,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
27,이선우,롯데,-,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,이호준,롯데,-,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,-,1.000,1.000,0,0.0,0.0
27,정대선,롯데,0.000,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0
27,추재현,롯데,-,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
