순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,강성우,롯데,0.500,0,0,1,0.00,0,-,2.00,0.000,0.1,0.35
2,레이예스,롯데,0.358,36,102,82,1.24,9,0.50,3.83,0.161,68.5,0.308
3,이정훈,롯데,0.321,7,24,13,1.85,1,0.61,4.14,0.090,12.4,0.281
4,손호영,롯데,0.317,22,43,52,0.83,2,0.32,3.25,0.219,32.2,0.296
5,황성빈,롯데,0.314,12,71,51,1.39,1,0.59,3.74,0.108,39.8,0.272
6,나승엽,롯데,0.306,27,54,58,0.93,2,0.72,4.13,0.157,42.6,0.296
7,윤동희,롯데,0.301,32,92,78,1.18,2,0.68,4.30,0.143,54.8,0.283
8,고승민,롯데,0.293,22,65,75,0.87,3,0.60,4.02,0.139,40.9,0.27
9,전준우,롯데,0.290,26,57,63,0.90,2,0.61,3.74,0.222,38.7,0.291
10,이학주,롯데,0.263,6,9,17,0.53,0,0.14,4.19,0.126,11.7,0.241
11,박승욱,롯데,0.262,18,53,56,0.95,3,0.35,3.92,0.111,31.3,0.249
12,정훈,롯데,0.258,21,52,53,0.98,4,0.58,3.93,0.195,29.3,0.263
13,한동희,롯데,0.257,2,6,11,0.55,1,0.11,3.56,0.057,2.4,0.204
14,최항,롯데,0.252,4,36,28,1.29,2,0.32,4.11,0.041,9.8,0.21
15,정보근,롯데,0.229,3,21,25,0.84,0,0.11,3.57,0.096,5.7,0.192
16,김민석,롯데,0.203,4,21,19,1.11,1,0.11,3.43,0.068,3.5,0.181
17,김동혁,롯데,0.200,1,5,2,2.50,0,0.40,4.06,0.133,1.8,0.216
17,김민성,롯데,0.200,7,12,27,0.44,1,0.56,4.20,0.157,8.9,0.234
19,유강남,롯데,0.191,8,50,36,1.39,0,0.36,3.84,0.132,12.7,0.205
20,손성빈,롯데,0.188,7,19,24,0.79,1,0.32,4.23,0.175,7.5,0.208
20,오선진,롯데,0.188,1,3,3,1.00,0,0.29,3.70,0.063,2.0,0.22
22,노진혁,롯데,0.185,3,19,27,0.70,0,0.41,3.94,0.037,5.9,0.177
23,이주찬,롯데,0.174,2,7,3,2.33,1,0.11,3.75,0.174,1.3,0.181
24,서동욱,롯데,0.143,1,2,6,0.33,0,0.00,3.80,0.071,0.4,0.144
24,신윤후,롯데,0.143,0,5,10,0.50,1,0.33,4.25,0.000,0.2,0.133
24,장두성,롯데,0.143,0,6,1,6.00,0,0.40,3.61,0.000,1.9,0.186
27,김원중,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
27,백두산,롯데,0.000,0,0,0,-,0,0.00,4.00,0.000,-0.1,0.0
27,이선우,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
27,이호준,롯데,-,0,0,0,-,0,-,6.00,-,0.3,0.45
27,정대선,롯데,0.000,0,0,0,-,0,0.00,4.00,0.000,-0.2,0.0
27,추재현,롯데,-,0,0,0,-,0,-,-,-,0.2,0.0
