순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,김지찬,삼성,94,29,27,2,93.1,1,1
2,구자욱,삼성,90,12,8,4,66.7,7,1
2,김영웅,삼성,89,9,8,1,88.9,1,0
2,이성규,삼성,90,10,8,2,80.0,1,0
5,류지혁,삼성,61,11,7,4,63.6,2,1
6,김재상,삼성,35,4,4,0,100,1,0
6,안주형,삼성,45,5,4,1,80.0,2,0
8,김성윤,삼성,28,4,3,1,75.0,0,0
8,김헌곤,삼성,77,5,3,2,60.0,1,0
8,박병호,삼성,80,3,3,0,100,1,0
11,강민호,삼성,93,2,2,0,100,3,0
11,김재혁,삼성,28,4,2,2,50.0,2,0
13,맥키넌,삼성,72,1,1,0,100,2,0
13,윤정빈,삼성,32,3,1,2,33.3,0,0
13,이재현,삼성,64,1,1,0,100,2,0
16,강한울,삼성,18,0,0,0,-,0,0
16,공민규,삼성,11,0,0,0,-,0,0
16,김대우,삼성,1,0,0,0,-,0,0
16,김동엽,삼성,6,0,0,0,-,0,0
16,김동진,삼성,26,0,0,0,-,0,0
16,김재성,삼성,10,0,0,0,-,0,0
16,김재윤,삼성,1,0,0,0,-,0,0
16,김태훈,삼성,9,0,0,0,-,0,0
16,김태훈,삼성,1,0,0,0,-,0,0
16,김현준,삼성,37,0,0,0,-,1,0
16,김호진,삼성,24,0,0,0,-,1,0
16,류승민,삼성,5,0,0,0,-,0,0
16,양우현,삼성,4,0,0,0,-,0,0
16,오승환,삼성,1,0,0,0,-,0,0
16,육선엽,삼성,1,0,0,0,-,0,0
16,이병헌,삼성,68,0,0,0,-,1,0
16,이상민,삼성,1,0,0,0,-,0,0
16,이창용,삼성,5,0,0,0,-,0,0
16,전병우,삼성,32,1,0,1,0.0,0,0
16,최지광,삼성,1,0,0,0,-,0,0
16,카데나스,삼성,4,0,0,0,-,0,0
