순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,전다민,두산,0.353,13,23,17,6,6,1,0,0,7,1,0,0,6,0,0,6,0,0.412,0.522,0.934,0,0.375,0.5
2,양의지,두산,0.342,82,345,310,40,106,12,0,12,154,73,0,6,23,3,6,34,9,0.497,0.391,0.888,30,0.434,0.5
3,허경민,두산,0.339,79,329,289,51,98,18,0,6,134,46,0,5,23,0,12,18,6,0.464,0.404,0.868,29,0.319,0.667
4,홍성호,두산,0.333,13,13,12,0,4,2,0,0,6,1,0,0,1,0,0,5,0,0.500,0.385,0.885,0,0.167,0.25
5,라모스,두산,0.304,78,340,303,42,92,17,3,10,145,47,1,6,27,1,3,59,5,0.479,0.360,0.839,26,0.26,0.0
6,서예일,두산,0.286,15,14,14,1,4,0,0,0,4,1,0,0,0,0,0,3,0,0.286,0.286,0.572,1,0.667,0.0
7,강승호,두산,0.284,95,386,356,51,101,24,6,13,176,54,1,3,22,3,4,108,4,0.494,0.330,0.824,27,0.27,0.333
8,정수빈,두산,0.278,89,387,327,65,91,12,3,3,118,28,6,6,42,1,6,43,5,0.361,0.365,0.726,27,0.267,0.0
9,이유찬,두산,0.275,62,117,102,21,28,3,0,1,34,7,1,0,13,0,1,24,4,0.333,0.362,0.695,7,0.233,0.333
10,조수행,두산,0.271,86,248,214,42,58,2,2,0,64,16,8,3,23,1,0,32,2,0.299,0.338,0.637,16,0.193,0.4
11,전민재,두산,0.270,65,160,148,22,40,5,0,2,51,20,2,1,8,0,1,32,6,0.345,0.310,0.655,12,0.343,0.0
12,김재환,두산,0.266,90,367,316,44,84,19,0,17,154,62,0,8,38,3,5,114,7,0.487,0.346,0.833,16,0.219,0.667
13,김기연,두산,0.257,54,161,144,20,37,5,0,3,51,16,1,2,12,0,2,24,4,0.354,0.319,0.673,9,0.278,0.167
14,양석환,두산,0.251,94,385,347,52,87,18,1,21,170,68,0,2,33,1,3,82,13,0.490,0.319,0.809,27,0.29,0.667
15,김재호,두산,0.250,29,69,56,6,14,4,0,0,18,3,2,1,9,0,1,10,2,0.321,0.358,0.679,3,0.5,0.0
15,윤준호,두산,0.250,3,4,4,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0.250,0.250,0.500,0,0.0,0.0
17,박준영,두산,0.232,53,178,155,22,36,7,2,5,62,21,1,1,18,0,3,48,0,0.400,0.322,0.722,7,0.189,1.0
18,김민혁,두산,0.200,5,8,5,1,1,0,0,1,4,2,0,0,3,0,0,3,0,0.800,0.500,1.300,0,0.0,0.0
18,박계범,두산,0.200,24,20,15,5,3,1,0,0,4,0,0,0,5,0,0,7,2,0.267,0.400,0.667,0,0.0,0.0
18,안승한,두산,0.200,4,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.200,0.200,0.400,0,0.0,0.5
18,장승현,두산,0.200,9,23,20,1,4,2,0,0,6,0,1,0,2,0,0,5,0,0.300,0.273,0.573,1,0.0,0.0
22,김인태,두산,0.174,10,26,23,3,4,0,0,1,7,2,0,1,2,0,0,7,1,0.304,0.231,0.535,0,0.167,0.0
23,김대한,두산,0.139,54,86,72,9,10,1,0,1,14,7,2,2,8,0,2,25,1,0.194,0.238,0.432,1,0.158,0.0
24,김태근,두산,0.095,29,24,21,3,2,0,0,0,2,1,1,0,0,0,2,10,0,0.095,0.174,0.269,0,0.333,0.0
25,김동주,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,김명신,두산,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,김민규,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,김호준,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,박민준,두산,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
25,박정수,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,박치국,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,양찬열,두산,0.000,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
25,오명진,두산,0.000,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.000,0.500,0.500,0,0.0,0.0
25,이교훈,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,이영하,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,정철원,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,최지강,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,홍건희,두산,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
