순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,전다민,두산,0.353,1,4,1,4.00,0,1.00,4.70,0.059,4.4,0.338
2,양의지,두산,0.342,24,67,109,0.61,11,0.68,3.70,0.155,57.1,0.3
3,허경민,두산,0.339,24,83,95,0.87,4,1.28,3.71,0.125,53.3,0.298
4,홍성호,두산,0.333,2,1,2,0.50,0,0.20,3.54,0.167,2.2,0.298
5,라모스,두산,0.304,30,73,85,0.86,6,0.46,3.73,0.175,51.4,0.282
6,서예일,두산,0.286,0,3,4,0.75,0,0.00,4.29,0.000,1.1,0.2
7,강승호,두산,0.284,43,59,91,0.65,8,0.20,3.76,0.211,56.7,0.272
8,정수빈,두산,0.278,18,106,93,1.14,2,0.98,4.02,0.083,52.7,0.255
9,이유찬,두산,0.275,4,20,30,0.67,0,0.54,4.04,0.059,12.4,0.246
10,조수행,두산,0.271,4,82,45,1.82,0,0.72,3.63,0.028,30.6,0.227
11,전민재,두산,0.270,7,42,35,1.20,1,0.25,3.48,0.074,14.2,0.226
12,김재환,두산,0.266,36,47,79,0.59,5,0.33,4.15,0.222,54.9,0.277
13,김기연,두산,0.257,8,37,48,0.77,1,0.50,3.70,0.097,16.0,0.232
14,양석환,두산,0.251,40,63,117,0.54,8,0.40,4.00,0.239,51.7,0.266
15,김재호,두산,0.250,4,12,21,0.57,1,0.90,4.01,0.071,7.1,0.241
15,윤준호,두산,0.250,0,1,1,1.00,0,0.00,4.50,0.000,0.2,0.175
17,박준영,두산,0.232,14,26,46,0.57,1,0.38,4.39,0.168,22.0,0.245
18,김민혁,두산,0.200,1,0,1,0.00,0,1.00,5.25,0.600,2.1,0.425
18,박계범,두산,0.200,1,3,2,1.50,0,0.71,4.70,0.067,1.7,0.247
18,안승한,두산,0.200,0,1,2,0.50,0,0.00,3.80,0.000,0.1,0.14
18,장승현,두산,0.200,2,8,3,2.67,0,0.40,3.70,0.100,1.4,0.198
22,김인태,두산,0.174,1,9,4,2.25,0,0.29,3.38,0.130,1.9,0.18
23,김대한,두산,0.139,2,15,24,0.63,0,0.32,3.90,0.056,4.1,0.156
24,김태근,두산,0.095,0,4,5,0.80,0,0.00,4.13,0.000,-0.4,0.102
25,김동주,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
25,김명신,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
25,김민규,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
25,김호준,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
25,박민준,두산,0.000,0,0,1,0.00,0,-,3.00,0.000,-0.1,0.0
25,박정수,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
25,박치국,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
25,양찬열,두산,0.000,0,1,0,-,0,-,2.00,0.000,-0.1,0.0
25,오명진,두산,0.000,0,0,0,-,0,1.00,4.50,0.000,0.2,0.225
25,이교훈,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
25,이영하,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
25,정철원,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
25,최지강,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
25,홍건희,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
