순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,강성우,롯데,0.500,0,0,1,0.00,0,-,2.00,0.000,0.1,0.35
2,레이예스,롯데,0.353,35,100,80,1.25,9,0.50,3.79,0.158,64.8,0.305
3,이정훈,롯데,0.324,7,22,12,1.83,1,0.61,4.16,0.095,12.2,0.286
4,손호영,롯데,0.324,22,40,50,0.80,2,0.27,3.26,0.227,31.5,0.301
5,황성빈,롯데,0.319,12,68,48,1.42,1,0.59,3.79,0.111,39.8,0.278
6,나승엽,롯데,0.305,25,52,55,0.95,2,0.71,4.15,0.136,39.1,0.289
7,고승민,롯데,0.304,22,59,71,0.83,3,0.57,4.05,0.146,41.1,0.277
8,윤동희,롯데,0.294,29,91,75,1.21,2,0.70,4.29,0.139,51.5,0.278
9,전준우,롯데,0.293,25,52,62,0.84,2,0.68,3.69,0.231,38.3,0.298
10,이학주,롯데,0.263,6,9,17,0.53,0,0.14,4.19,0.126,11.7,0.241
11,박승욱,롯데,0.257,17,51,55,0.93,3,0.30,3.93,0.110,28.4,0.241
12,한동희,롯데,0.257,2,6,11,0.55,1,0.11,3.56,0.057,2.4,0.204
13,정훈,롯데,0.251,18,52,50,1.04,3,0.51,3.93,0.175,25.7,0.25
14,최항,롯데,0.241,3,33,27,1.22,2,0.32,4.18,0.034,8.5,0.202
15,정보근,롯데,0.228,3,20,24,0.83,0,0.12,3.60,0.101,5.4,0.193
16,김민석,롯데,0.203,4,21,19,1.11,1,0.11,3.43,0.068,3.5,0.181
17,김동혁,롯데,0.200,1,5,2,2.50,0,0.40,4.06,0.133,1.8,0.216
17,김민성,롯데,0.200,7,12,27,0.44,1,0.56,4.20,0.157,8.9,0.234
19,유강남,롯데,0.191,8,50,36,1.39,0,0.36,3.84,0.132,12.7,0.205
20,손성빈,롯데,0.189,7,19,20,0.95,1,0.33,4.26,0.189,7.4,0.215
21,노진혁,롯데,0.188,3,19,26,0.73,0,0.41,3.97,0.038,5.9,0.179
21,오선진,롯데,0.188,1,3,3,1.00,0,0.29,3.70,0.063,2.0,0.22
23,이주찬,롯데,0.174,2,7,3,2.33,1,0.11,3.75,0.174,1.3,0.181
24,장두성,롯데,0.154,0,6,0,-,0,0.40,3.76,0.000,2.0,0.197
25,서동욱,롯데,0.143,1,2,6,0.33,0,0.00,3.80,0.071,0.4,0.144
25,신윤후,롯데,0.143,0,5,10,0.50,1,0.33,4.25,0.000,0.2,0.133
27,김원중,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
27,백두산,롯데,0.000,0,0,0,-,0,0.00,4.00,0.000,-0.1,0.0
27,이선우,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
27,이호준,롯데,-,0,0,0,-,0,-,6.00,-,0.3,0.45
27,정대선,롯데,0.000,0,0,0,-,0,0.00,4.00,0.000,-0.2,0.0
27,추재현,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
