순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,황성빈,롯데,73,42,37,5,88.1,2,3
2,장두성,롯데,25,9,7,2,77.8,1,0
3,손호영,롯데,48,10,6,4,60.0,1,1
4,윤동희,롯데,85,8,5,3,62.5,2,0
5,고승민,롯데,64,6,4,2,66.7,5,0
5,레이예스,롯데,88,4,4,0,100,2,1
7,김동혁,롯데,31,4,3,1,75.0,0,2
7,전준우,롯데,53,4,3,1,75.0,1,1
9,김민석,롯데,32,3,2,1,66.7,0,0
10,박승욱,롯데,86,5,1,4,20.0,5,0
10,정훈,롯데,60,2,1,1,50.0,1,0
12,강성우,롯데,2,1,0,1,0.0,0,0
12,김민성,롯데,35,1,0,1,0.0,0,0
12,김원중,롯데,1,0,0,0,-,0,0
12,나승엽,롯데,65,0,0,0,-,3,0
12,노진혁,롯데,37,0,0,0,-,0,0
12,백두산,롯데,1,0,0,0,-,0,0
12,서동욱,롯데,12,0,0,0,-,0,0
12,손성빈,롯데,43,0,0,0,-,1,0
12,신윤후,롯데,16,0,0,0,-,1,1
12,오선진,롯데,18,0,0,0,-,0,0
12,유강남,롯데,52,0,0,0,-,2,0
12,이선우,롯데,5,0,0,0,-,0,0
12,이정훈,롯데,38,0,0,0,-,0,0
12,이주찬,롯데,14,0,0,0,-,0,0
12,이학주,롯데,43,1,0,1,0.0,2,0
12,이호준,롯데,2,0,0,0,-,0,0
12,정대선,롯데,3,0,0,0,-,0,0
12,정보근,롯데,43,0,0,0,-,0,0
12,최항,롯데,56,1,0,1,0.0,1,1
12,추재현,롯데,1,0,0,0,-,0,0
12,한동희,롯데,14,0,0,0,-,1,0
