순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
1,김동진,삼성,1.0,1,1,0,0,0,1,0,0,0,0,1번
2,김태훈,삼성,0.4,5,2,0,0,0,0,0,0,0,0,1번
3,구자욱,삼성,0.379,29,11,1,1,1,4,5,1,4,0,1번
4,김헌곤,삼성,0.294,34,10,2,0,2,3,4,1,5,2,1번
4,이성규,삼성,0.294,17,5,0,0,1,1,2,0,2,0,1번
6,김성윤,삼성,0.286,7,2,1,0,0,0,1,0,0,0,1번
7,김지찬,삼성,0.274,234,64,8,0,1,14,29,7,20,1,1번
8,김현준,삼성,0.192,26,5,4,1,0,2,2,0,6,1,1번
9,류지혁,삼성,0.125,8,1,1,0,0,0,1,0,3,0,1번
10,강민호,삼성,0.0,2,0,0,0,0,0,1,0,0,0,1번
10,김재혁,삼성,0.0,4,0,0,0,0,0,0,0,2,1,1번
10,김호진,삼성,0.0,2,0,0,0,0,0,0,0,0,0,1번
10,안주형,삼성,0.0,3,0,0,0,0,0,1,1,1,0,1번
10,이재현,삼성,0.0,2,0,0,0,0,1,0,0,1,0,1번
1,김동진,삼성,1.000,1,1,0,0,1,1,0,0,0,0,2번
2,김재혁,삼성,0.500,2,1,0,0,0,0,0,0,1,0,2번
3,강민호,삼성,0.333,3,1,0,0,0,1,0,0,0,0,2번
4,김헌곤,삼성,0.327,52,17,2,0,3,10,6,0,9,0,2번
5,이재현,삼성,0.268,138,37,11,0,7,27,20,1,30,2,2번
6,이성규,삼성,0.261,23,6,0,0,1,5,1,1,10,0,2번
7,김지찬,삼성,0.250,20,5,1,0,0,0,2,1,1,1,2번
8,맥키넌,삼성,0.220,41,9,1,0,0,3,2,0,5,1,2번
9,구자욱,삼성,0.206,34,7,1,0,3,6,3,1,9,0,2번
10,김영웅,삼성,0.200,5,1,0,0,0,0,0,0,2,0,2번
10,류지혁,삼성,0.200,10,2,0,0,0,0,0,0,2,0,2번
12,김재상,삼성,0.167,6,1,1,0,0,2,0,0,1,0,2번
12,김태훈,삼성,0.167,6,1,1,0,0,1,0,0,1,0,2번
14,김현준,삼성,0.154,13,2,0,0,0,1,0,0,4,0,2번
15,안주형,삼성,0.143,7,1,1,0,0,0,0,0,1,0,2번
16,김성윤,삼성,0.120,25,3,0,0,0,0,2,1,7,0,2번
17,강한울,삼성,0.000,1,0,0,0,0,0,0,0,0,0,2번
17,김동엽,삼성,0.000,1,0,0,0,0,0,0,0,0,0,2번
17,김호진,삼성,-,0,0,0,0,0,1,0,0,0,0,2번
17,박병호,삼성,0.000,2,0,0,0,0,0,1,0,0,0,2번
1,김동진,삼성,1.000,1,1,0,0,0,0,0,0,0,0,3번
1,윤정빈,삼성,1.000,1,1,0,0,0,0,0,0,0,0,3번
3,이재현,삼성,0.400,5,2,0,0,0,1,0,0,1,0,3번
4,김영웅,삼성,0.333,3,1,0,0,0,0,0,1,0,0,3번
