순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,김영웅,삼성,유격수,38,304.2,1.067,11.49
2,이재현,삼성,유격수,58,457.0,0.803,8.64
3,김지찬,삼성,중견수,75,530.1,0.737,7.93
4,강민호,삼성,포수,79,497.1,0.647,6.96
5,이성규,삼성,우익수,45,260.1,0.586,6.3
6,김현준,삼성,우익수,20,110.0,0.576,6.2
7,강한울,삼성,3루수,9,41.0,0.337,3.63
8,전병우,삼성,3루수,24,144.2,0.331,3.57
9,김동진,삼성,2루수,20,83.0,0.321,3.45
10,김재혁,삼성,좌익수,5,23.0,0.271,2.92
11,구자욱,삼성,좌익수,69,547.0,0.267,2.87
12,김호진,삼성,3루수,11,46.0,0.258,2.78
13,류지혁,삼성,2루수,37,233.1,0.224,2.41
14,맥키넌,삼성,1루수,50,423.1,0.22,2.36
15,김태훈,삼성,우익수,4,20.0,0.201,2.16
16,이병헌,삼성,포수,60,285.1,0.172,1.85
17,김재상,삼성,2루수,32,205.1,0.167,1.8
18,김성윤,삼성,우익수,9,59.1,0.165,1.77
19,전병우,삼성,1루수,2,11.0,0.142,1.53
19,양우현,삼성,2루수,4,31.0,0.142,1.52
21,안주형,삼성,3루수,2,3.0,0.126,1.35
22,김영웅,삼성,2루수,7,35.0,0.088,0.95
23,류승민,삼성,우익수,4,7.0,0.087,0.93
24,윤정빈,삼성,1루수,3,8.0,0.074,0.8
25,이성규,삼성,좌익수,7,30.0,0.073,0.79
26,김재혁,삼성,1루수,4,31.0,0.047,0.51
27,이창용,삼성,1루수,3,22.0,0.044,0.47
28,류지혁,삼성,3루수,23,155.1,0.042,0.46
29,김재상,삼성,3루수,2,3.0,0.031,0.33
30,윤정빈,삼성,좌익수,3,19.1,0.029,0.31
31,김성윤,삼성,중견수,21,83.1,0.026,0.28
32,윤정빈,삼성,우익수,18,129.2,0.016,0.17
33,공민규,삼성,1루수,2,5.0,0.015,0.16
34,김호진,삼성,2루수,1,2.0,0.002,0.02
35,김재혁,삼성,우익수,10,22.0,0.0,0.0
36,김태훈,삼성,좌익수,2,3.2,-0.014,-0.15
37,김헌곤,삼성,우익수,33,203.1,-0.017,-0.19
38,김재혁,삼성,중견수,6,18.0,-0.018,-0.2
39,김재성,삼성,1루수,1,5.0,-0.038,-0.41
40,김재성,삼성,포수,7,29.0,-0.042,-0.45
41,류지혁,삼성,1루수,6,12.0,-0.043,-0.46
42,김호진,삼성,유격수,7,21.0,-0.05,-0.54
43,김지찬,삼성,2루수,10,14.0,-0.055,-0.59
44,이성규,삼성,중견수,23,128.0,-0.058,-0.63
45,김동진,삼성,3루수,5,16.0,-0.071,-0.76
46,김현준,삼성,중견수,13,37.0,-0.077,-0.83
47,박병호,삼성,1루수,19,150.2,-0.079,-0.85
48,김현준,삼성,좌익수,2,12.1,-0.11,-1.18
49,오재일,삼성,1루수,12,84.2,-0.111,-1.19
50,공민규,삼성,3루수,9,33.0,-0.115,-1.23
51,이창용,삼성,3루수,1,4.0,-0.121,-1.31
52,안주형,삼성,유격수,7,25.0,-0.131,-1.41
53,이성규,삼성,1루수,18,57.0,-0.182,-1.96
54,김헌곤,삼성,중견수,4,15.0,-0.183,-1.97
55,김헌곤,삼성,좌익수,40,168.1,-0.191,-2.05
56,김성윤,삼성,좌익수,1,8.0,-0.223,-2.4
57,맥키넌,삼성,3루수,6,36.2,-0.235,-2.52
58,강한울,삼성,2루수,8,25.0,-0.247,-2.66
59,김영웅,삼성,3루수,46,329.0,-0.296,-3.19
60,안주형,삼성,2루수,37,183.0,-0.367,-3.95
72,김재상,삼성,유격수,1,1.0,nan,nan
72,김호진,삼성,1루수,1,1.0,nan,nan
72,김태훈,삼성,투수,38,36.1,nan,nan
72,이상민,삼성,투수,10,9.1,nan,nan
72,오승환,삼성,투수,39,40.0,nan,nan
72,강한울,삼성,1루수,1,1.0,nan,nan
72,김재윤,삼성,투수,42,44.1,nan,nan
72,최지광,삼성,투수,11,15.2,nan,nan
72,육선엽,삼성,투수,4,6.2,nan,nan
72,김대우,삼성,투수,23,29.1,nan,nan
72,강한울,삼성,유격수,3,3.0,nan,nan
