순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,구자욱,삼성,0.300,88,391,347,58,104,26,1,19,189,68,0,3,33,2,8,54,3,0.545,0.371,0.916,29,0.284,0.0
2,김헌곤,삼성,0.295,73,189,173,28,51,7,0,8,82,22,1,0,13,0,2,32,3,0.474,0.351,0.825,11,0.298,0.286
3,강민호,삼성,0.295,89,277,241,30,71,7,1,8,104,42,0,4,26,1,6,33,10,0.432,0.372,0.804,16,0.308,0.235
4,맥키넌,삼성,0.294,72,315,272,28,80,13,0,4,105,36,0,3,39,3,1,33,6,0.386,0.381,0.767,24,0.27,0.0
5,김지찬,삼성,0.290,90,339,286,56,83,9,0,3,101,21,8,1,36,1,8,25,3,0.353,0.384,0.737,18,0.237,0.333
6,이재현,삼성,0.285,61,254,221,39,63,15,0,9,105,40,0,2,30,1,1,46,3,0.475,0.370,0.845,18,0.377,0.333
7,류지혁,삼성,0.273,57,211,183,28,50,5,1,2,63,25,2,2,20,0,4,48,3,0.344,0.354,0.698,15,0.296,0.0
8,이병헌,삼성,0.272,65,118,103,5,28,4,0,1,35,6,1,0,12,0,2,37,0,0.340,0.359,0.699,6,0.13,0.333
9,김태훈,삼성,0.267,9,16,15,2,4,1,0,0,5,1,0,0,0,0,1,2,1,0.333,0.313,0.646,1,0.2,0.4
10,윤정빈,삼성,0.264,28,82,72,8,19,2,0,3,30,8,0,1,7,0,2,22,0,0.417,0.341,0.758,6,0.143,0.143
11,김영웅,삼성,0.261,85,357,314,47,82,12,3,17,151,50,1,3,36,0,3,101,2,0.481,0.340,0.821,20,0.304,0.0
12,이성규,삼성,0.251,86,244,207,35,52,6,1,15,105,42,4,2,21,0,10,65,3,0.507,0.346,0.853,10,0.306,0.235
13,김재상,삼성,0.238,35,91,84,13,20,4,0,2,30,12,1,1,5,0,0,23,0,0.357,0.278,0.635,4,0.222,0.25
14,김성윤,삼성,0.222,28,77,63,13,14,2,0,0,16,6,3,2,8,0,1,15,1,0.254,0.311,0.565,3,0.3,0.333
15,안주형,삼성,0.219,41,86,73,12,16,2,0,0,18,4,6,0,6,0,1,17,2,0.247,0.288,0.535,3,0.25,0.0
16,박병호,삼성,0.211,80,257,213,28,45,5,0,9,77,28,0,0,37,0,7,81,12,0.362,0.346,0.708,9,0.19,0.2
17,김재성,삼성,0.200,10,23,20,3,4,1,0,0,5,1,0,0,3,0,0,5,1,0.250,0.304,0.554,1,0.333,0.0
17,전병우,삼성,0.200,31,66,55,6,11,3,0,0,14,5,0,1,9,0,1,22,2,0.255,0.318,0.573,1,0.308,0.0
19,김동엽,삼성,0.182,6,14,11,1,2,1,0,0,3,2,0,1,1,1,1,5,0,0.273,0.286,0.559,1,0.0,0.0
20,김재혁,삼성,0.159,27,49,44,6,7,2,1,0,11,6,0,2,3,0,0,19,2,0.250,0.204,0.454,2,0.095,0.0
21,이창용,삼성,0.154,5,13,13,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0.154,0.154,0.308,0,0.143,0.0
22,김현준,삼성,0.148,33,92,81,9,12,6,1,0,20,6,1,2,6,0,2,27,4,0.247,0.220,0.467,2,0.125,0.4
23,김동진,삼성,0.125,26,37,32,5,4,0,0,1,7,2,2,0,3,0,0,7,1,0.219,0.200,0.419,0,0.333,0.25
24,강한울,삼성,0.095,18,25,21,1,2,0,0,0,2,1,3,1,0,0,0,6,1,0.095,0.091,0.186,0,0.167,0.0
25,김호진,삼성,0.080,22,28,25,2,2,0,0,0,2,3,0,1,1,0,1,10,1,0.080,0.143,0.223,0,0.125,0.0
26,공민규,삼성,0.077,11,16,13,1,1,0,0,1,4,2,0,0,1,0,2,8,1,0.308,0.250,0.558,0,0.0,0.0
27,김대우,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,김재윤,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,김태훈,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,류승민,삼성,0.000,5,3,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0.000,0.667,0.667,0,0.0,0.0
27,양우현,삼성,0.000,4,13,11,0,0,0,0,0,0,1,1,0,1,0,0,5,1,0.000,0.083,0.083,0,0.0,0.0
27,오승환,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,육선엽,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,이상민,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,최지광,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
