순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,구자욱,삼성,0.300,46,92,100,0.92,8,0.61,3.85,0.245,67.7,0.303
2,김헌곤,삼성,0.295,15,45,45,1.00,2,0.41,4.24,0.179,27.3,0.276
3,강민호,삼성,0.295,16,74,67,1.10,4,0.79,3.40,0.137,38.5,0.275
4,맥키넌,삼성,0.294,17,55,107,0.51,3,1.18,3.71,0.092,41.5,0.268
5,김지찬,삼성,0.290,12,105,74,1.42,3,1.44,3.70,0.063,46.3,0.261
6,이재현,삼성,0.285,24,45,69,0.65,2,0.65,4.28,0.190,38.9,0.285
7,류지혁,삼성,0.273,8,54,33,1.64,3,0.42,3.97,0.071,24.0,0.245
8,이병헌,삼성,0.272,5,18,20,0.90,0,0.32,4.01,0.068,13.6,0.247
9,김태훈,삼성,0.267,1,5,4,1.25,1,0.00,3.44,0.067,1.2,0.224
10,윤정빈,삼성,0.264,5,16,16,1.00,2,0.32,4.17,0.153,11.1,0.258
11,김영웅,삼성,0.261,32,58,76,0.76,6,0.36,3.83,0.220,54.3,0.273
12,이성규,삼성,0.251,22,34,58,0.59,4,0.32,3.89,0.256,38.9,0.282
13,김재상,삼성,0.238,6,26,16,1.63,0,0.22,3.60,0.119,9.6,0.214
14,김성윤,삼성,0.222,2,24,12,2.00,1,0.53,3.34,0.032,6.7,0.203
15,안주형,삼성,0.219,2,26,14,1.86,0,0.35,3.87,0.027,5.5,0.191
16,박병호,삼성,0.211,14,41,46,0.89,3,0.46,4.23,0.150,27.4,0.246
17,김재성,삼성,0.200,1,7,4,1.75,0,0.60,4.00,0.050,1.4,0.199
17,전병우,삼성,0.200,3,11,12,0.92,0,0.41,4.36,0.055,4.7,0.207
19,김동엽,삼성,0.182,1,3,2,1.50,0,0.20,3.57,0.091,1.3,0.197
20,김재혁,삼성,0.159,3,11,9,1.22,2,0.16,4.04,0.091,1.7,0.154
21,이창용,삼성,0.154,0,5,5,1.00,0,0.00,3.54,0.000,0.0,0.108
22,김현준,삼성,0.148,7,25,19,1.32,1,0.22,3.96,0.099,3.5,0.161
23,김동진,삼성,0.125,1,13,8,1.63,0,0.43,3.14,0.094,1.1,0.145
24,강한울,삼성,0.095,0,8,6,1.33,0,0.00,3.80,0.000,-0.6,0.065
25,김호진,삼성,0.080,0,6,8,0.75,0,0.10,3.25,0.000,-0.5,0.084
26,공민규,삼성,0.077,1,1,3,0.33,0,0.13,4.19,0.231,0.9,0.19
27,김대우,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
27,김재윤,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
27,김태훈,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
27,류승민,삼성,0.000,0,0,0,-,0,2.00,5.67,0.000,0.6,0.3
27,양우현,삼성,0.000,0,4,2,2.00,0,0.20,3.77,0.000,-1.0,0.037
27,오승환,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
27,육선엽,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
27,이상민,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
27,최지광,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
