순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,김혜성,키움,2루수,73,622.2,0.993,10.68
2,송성문,키움,3루수,61,460.2,0.943,10.14
3,김태진,키움,유격수,20,140.0,0.757,8.15
4,김재현,키움,포수,74,518.1,0.45,4.84
5,송성문,키움,2루수,12,95.2,0.365,3.93
6,김휘집,키움,유격수,44,338.1,0.34,3.66
7,변상권,키움,우익수,9,51.2,0.276,2.97
8,김건희,키움,포수,34,197.1,0.265,2.85
9,변상권,키움,좌익수,14,93.0,0.151,1.62
10,김태진,키움,좌익수,8,35.0,0.15,1.62
11,이용규,키움,우익수,13,94.0,0.102,1.1
12,이주형,키움,중견수,9,49.2,0.101,1.09
13,도슨,키움,좌익수,54,420.2,0.1,1.08
14,고영우,키움,2루수,9,43.0,0.09,0.97
15,김주형,키움,유격수,13,42.0,0.083,0.89
16,김시앙,키움,포수,6,19.1,0.063,0.67
17,주성원,키움,좌익수,2,16.0,0.054,0.58
18,원성준,키움,좌익수,2,5.0,0.053,0.57
18,이주형,키움,우익수,36,273.1,0.053,0.57
20,김태진,키움,2루수,6,19.0,0.047,0.51
21,임병욱,키움,우익수,4,11.0,0.041,0.44
22,박주홍,키움,우익수,2,6.0,0.038,0.41
23,박성빈,키움,포수,6,27.0,0.036,0.38
24,김휘집,키움,3루수,9,53.0,0.035,0.38
25,주성원,키움,우익수,14,76.0,0.024,0.26
26,김주형,키움,2루수,2,3.0,0.009,0.1
27,이용규,키움,좌익수,18,141.2,-0.001,-0.01
28,송지후,키움,2루수,1,3.0,-0.005,-0.05
29,이승원,키움,유격수,2,9.0,-0.021,-0.23
30,김태진,키움,우익수,2,6.0,-0.031,-0.33
31,예진원,키움,좌익수,6,19.0,-0.047,-0.51
32,임병욱,키움,중견수,16,83.0,-0.053,-0.57
33,임병욱,키움,좌익수,1,9.0,-0.059,-0.64
34,이형종,키움,우익수,23,175.2,-0.083,-0.89
35,이용규,키움,중견수,16,91.0,-0.089,-0.96
36,박수종,키움,좌익수,4,4.0,-0.094,-1.01
37,고영우,키움,유격수,14,67.0,-0.128,-1.37
38,박수종,키움,우익수,7,12.0,-0.13,-1.4
39,도슨,키움,중견수,25,185.2,-0.141,-1.52
40,박준형,키움,포수,4,12.1,-0.144,-1.55
41,임지열,키움,좌익수,8,39.0,-0.154,-1.66
42,김동헌,키움,포수,2,14.0,-0.163,-1.76
43,이주형,키움,좌익수,1,4.0,-0.164,-1.77
44,박수종,키움,중견수,34,164.2,-0.174,-1.87
45,예진원,키움,중견수,11,23.0,-0.21,-2.26
46,예진원,키움,우익수,5,16.2,-0.215,-2.32
47,장재영,키움,중견수,17,126.1,-0.241,-2.6
48,임지열,키움,우익수,9,66.0,-0.277,-2.98
49,최주환,키움,1루수,74,615.1,-0.288,-3.1
50,이원석,키움,1루수,12,87.0,-0.302,-3.25
51,원성준,키움,중견수,10,65.0,-0.331,-3.56
52,송성문,키움,1루수,19,86.0,-0.352,-3.79
53,이재상,키움,유격수,29,188.0,-0.543,-5.84
54,고영우,키움,3루수,42,273.2,-0.574,-6.17
67,김연주,키움,투수,12,10.1,nan,nan
67,문성현,키움,투수,36,33.1,nan,nan
67,박주홍,키움,좌익수,2,2.0,nan,nan
67,신준우,키움,유격수,1,1.0,nan,nan
67,주승우,키움,투수,32,28.2,nan,nan
67,양지율,키움,투수,5,5.2,nan,nan
67,김윤하,키움,투수,9,20.1,nan,nan
67,김병휘,키움,2루수,2,2.0,nan,nan
67,김선기,키움,투수,20,45.0,nan,nan
67,김주형,키움,3루수,1,1.0,nan,nan
67,김재웅,키움,투수,26,23.2,nan,nan
67,김병휘,키움,유격수,2,3.0,nan,nan
