순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
1,김태연,한화,0.353,68,24,2,0,5,17,10,0,17,0,1번
2,황영묵,한화,0.339,56,19,2,1,1,10,3,0,9,0,1번
3,문현빈,한화,0.289,38,11,2,0,1,10,3,0,6,4,1번
4,이원석,한화,0.281,64,18,2,1,0,5,9,0,12,2,1번
5,유로결,한화,0.250,4,1,0,0,0,0,1,0,1,0,1번
5,최인호,한화,0.250,104,26,7,1,0,4,18,2,20,1,1번
7,이진영,한화,0.188,16,3,0,0,0,1,0,1,5,1,1번
8,하주석,한화,0.167,6,1,0,0,0,0,0,0,2,0,1번
9,김강민,한화,0.077,13,1,0,0,1,3,2,0,2,0,1번
10,이명기,한화,0.000,1,0,0,0,0,0,0,0,1,0,1번
10,장진혁,한화,-,0,0,0,0,0,0,1,0,0,0,1번
10,정은원,한화,0.000,12,0,0,0,0,0,1,0,3,0,1번
1,페라자,한화,0.348,155,54,13,0,12,33,24,1,40,3,2번
2,황영묵,한화,0.348,46,16,0,0,0,7,3,1,8,0,2번
3,최인호,한화,0.292,24,7,0,0,0,2,1,1,1,1,2번
4,문현빈,한화,0.25,4,1,0,0,0,0,1,0,0,1,2번
5,장진혁,한화,0.23,61,14,3,0,1,8,7,1,21,0,2번
6,김태연,한화,0.2,25,5,0,0,1,1,0,0,3,1,2번
6,이진영,한화,0.2,5,1,1,0,0,0,2,1,1,0,2번
6,하주석,한화,0.2,10,2,1,0,0,1,1,1,3,0,2번
9,정은원,한화,0.143,7,1,0,0,1,2,1,0,2,0,2번
10,김강민,한화,0.125,8,1,0,0,0,1,3,0,3,0,2번
11,안치홍,한화,0.105,19,2,0,0,1,2,2,0,5,0,2번
12,김인환,한화,0.0,1,0,0,0,0,0,0,0,0,0,2번
12,이도윤,한화,0.0,1,0,0,0,0,1,0,0,0,0,2번
12,이명기,한화,0.0,1,0,0,0,0,0,0,0,0,0,2번
12,이상혁,한화,0.0,1,0,0,0,0,0,0,0,0,0,2번
12,이원석,한화,0.0,1,0,0,0,0,0,1,0,0,0,2번
12,임종찬,한화,0.0,1,0,0,0,0,0,0,0,1,0,2번
1,문현빈,한화,1.0,2,2,1,1,0,2,2,0,0,0,3번
2,임종찬,한화,0.5,2,1,0,0,0,0,1,0,1,0,3번
3,노시환,한화,0.303,89,27,3,0,5,13,9,0,19,4,3번
4,김태연,한화,0.263,19,5,0,0,0,1,1,0,3,0,3번
5,페라자,한화,0.256,125,32,8,0,5,20,13,0,32,1,3번
6,안치홍,한화,0.224,76,17,4,0,0,5,8,2,15,2,3번
7,황영묵,한화,0.167,6,1,0,0,0,1,2,0,0,0,3번
8,채은성,한화,0.149,47,7,3,0,0,7,3,1,10,1,3번
9,이원석,한화,0.0,2,0,0,0,0,0,0,0,0,1,3번
9,하주석,한화,0.0,5,0,0,0,0,0,0,0,2,0,3번
1,문현빈,한화,1.000,2,2,0,0,0,0,0,0,0,0,4번
2,황영묵,한화,0.500,2,1,1,0,0,0,0,0,1,0,4번
3,안치홍,한화,0.353,85,30,2,0,6,18,7,1,14,1,4번
4,노시환,한화,0.254,248,63,9,1,13,47,23,4,62,1,4번
5,채은성,한화,0.167,24,4,0,0,1,1,2,0,4,0,4번
6,김강민,한화,-,0,0,0,0,0,0,1,0,0,0,4번
6,박상언,한화,-,0,0,0,0,0,0,1,0,0,0,4번
6,이도윤,한화,0.000,1,0,0,0,0,0,0,0,0,0,4번
6,이원석,한화,0.000,1,0,0,0,0,0,0,0,1,0,4번
1,정은원,한화,1.000,1,1,1,0,0,0,0,0,0,0,5번
2,김태연,한화,0.333,42,14,2,0,1,8,7,2,4,1,5번
2,문현빈,한화,0.333,6,2,0,0,0,1,0,0,2,0,5번
2,이도윤,한화,0.333,3,1,0,0,0,0,1,0,1,0,5번
2,이원석,한화,0.333,3,1,0,0,0,1,0,0,1,0,5번
6,안치홍,한화,0.331,130,43,5,0,2,16,19,2,16,2,5번
7,채은성,한화,0.289,128,37,10,0,5,28,16,2,32,5,5번
8,최인호,한화,0.200,5,1,1,0,0,1,1,0,0,0,5번
9,황영묵,한화,0.167,6,1,0,0,0,0,1,0,2,0,5번
10,최재훈,한화,0.091,11,1,1,0,0,0,0,2,3,1,5번
11,박상언,한화,-,0,0,0,0,0,0,1,0,0,0,5번
11,장진혁,한화,-,0,0,0,0,0,0,1,0,0,0,5번
1,김인환,한화,1.0,1,1,0,0,0,0,0,0,0,0,6번
2,이재원,한화,0.6,5,3,0,0,0,1,0,0,0,0,6번
3,이원석,한화,0.5,2,1,0,0,0,0,0,0,1,0,6번
4,최인호,한화,0.444,9,4,1,0,0,1,2,0,0,0,6번
5,장진혁,한화,0.429,7,3,0,0,0,0,0,0,2,0,6번
6,김강민,한화,0.375,8,3,0,0,0,3,0,1,2,0,6번
7,황영묵,한화,0.35,20,7,0,1,0,2,0,1,4,1,6번
8,정은원,한화,0.333,6,2,1,0,0,0,0,0,2,0,6번
9,안치홍,한화,0.321,28,9,2,0,1,5,0,0,3,0,6번
10,채은성,한화,0.286,63,18,2,0,3,10,2,1,6,0,6번
11,임종찬,한화,0.273,11,3,1,1,0,1,1,0,4,1,6번
12,이도윤,한화,0.239,46,11,1,0,0,3,3,1,8,1,6번
13,하주석,한화,0.231,13,3,0,0,0,0,0,0,5,0,6번
14,김태연,한화,0.23,61,14,9,0,1,9,8,1,18,1,6번
15,문현빈,한화,0.156,45,7,1,1,0,4,3,0,12,0,6번
16,최재훈,한화,0.059,17,1,0,0,0,2,4,1,5,0,6번
17,박상언,한화,0.0,1,0,0,0,0,0,0,0,0,0,6번
17,이명기,한화,0.0,5,0,0,0,0,1,0,0,2,0,6번
17,이상혁,한화,0.0,1,0,0,0,0,0,0,0,0,0,6번
1,이재원,한화,0.452,31,14,1,0,0,6,1,0,3,1,7번
2,김태연,한화,0.429,28,12,2,0,1,5,3,0,4,1,7번
3,장진혁,한화,0.400,5,2,0,0,1,1,1,0,0,0,7번
3,하주석,한화,0.400,20,8,1,0,0,1,3,0,4,0,7번
5,최재훈,한화,0.370,46,17,5,0,0,7,6,6,7,1,7번
6,문현빈,한화,0.333,39,13,3,0,2,5,6,0,9,0,7번
6,이원석,한화,0.333,3,1,1,0,0,1,0,0,1,0,7번
8,김강민,한화,0.257,35,9,0,0,0,0,1,2,8,1,7번
9,황영묵,한화,0.239,46,11,2,0,2,4,1,0,5,1,7번
10,안치홍,한화,0.200,5,1,0,0,0,0,0,0,2,0,7번
10,채은성,한화,0.200,5,1,0,0,0,0,0,0,1,0,7번
12,이도윤,한화,0.188,16,3,0,0,0,1,2,0,3,1,7번
13,최인호,한화,0.182,11,2,0,0,1,4,1,0,2,0,7번
14,임종찬,한화,0.167,24,4,1,1,0,4,1,0,7,1,7번
15,박상언,한화,0.143,7,1,0,0,0,0,1,0,5,0,7번
16,이진영,한화,0.083,12,1,0,0,0,1,1,0,5,0,7번
17,김인환,한화,0.000,3,0,0,0,0,0,0,0,2,0,7번
17,이명기,한화,-,0,0,0,0,0,0,0,0,0,0,7번
17,정은원,한화,0.000,1,0,0,0,0,0,0,0,1,0,7번
1,페라자,한화,0.5,2,1,0,0,0,0,0,0,0,0,8번
2,황영묵,한화,0.367,30,11,2,0,0,3,2,0,3,1,8번
3,최인호,한화,0.318,22,7,2,1,0,5,0,0,5,1,8번
4,이도윤,한화,0.305,82,25,1,1,0,12,8,0,13,0,8번
5,박상언,한화,0.29,31,9,2,0,0,4,4,1,6,0,8번
6,최재훈,한화,0.25,48,12,2,0,1,5,8,4,9,2,8번
7,문현빈,한화,0.217,23,5,1,0,1,2,1,1,8,1,8번
8,장진혁,한화,0.214,14,3,0,0,0,0,1,0,3,0,8번
9,임종찬,한화,0.143,7,1,1,0,0,2,1,0,1,0,8번
10,이재원,한화,0.138,29,4,0,0,0,1,3,2,5,1,8번
11,하주석,한화,0.111,18,2,1,0,0,0,3,0,7,0,8번
12,김강민,한화,0.0,1,0,0,0,0,0,1,0,1,0,8번
12,김인환,한화,0.0,1,0,0,0,0,0,0,0,0,0,8번
12,김태연,한화,0.0,2,0,0,0,0,0,0,0,1,0,8번
12,이원석,한화,0.0,2,0,0,0,0,0,0,0,1,0,8번
12,이진영,한화,0.0,2,0,0,0,0,0,1,0,1,0,8번
12,정은원,한화,0.0,1,0,0,0,0,0,0,0,1,0,8번
12,채은성,한화,0.0,1,0,0,0,0,0,0,0,0,0,8번
1,이상혁,한화,1.000,1,1,0,0,0,0,0,0,0,0,9번
2,박상언,한화,0.667,3,2,1,0,0,0,2,0,1,0,9번
3,최재훈,한화,0.309,55,17,1,0,0,5,6,4,10,3,9번
4,이진영,한화,0.300,20,6,3,0,0,6,2,0,6,0,9번
5,하주석,한화,0.286,7,2,1,0,0,2,0,0,1,0,9번
6,이도윤,한화,0.281,64,18,2,1,0,11,6,1,8,1,9번
7,김강민,한화,0.273,11,3,0,0,0,0,0,0,5,0,9번
7,이원석,한화,0.273,11,3,0,0,0,2,1,0,6,0,9번
9,최인호,한화,0.250,8,2,0,0,0,0,0,0,2,0,9번
10,유로결,한화,0.200,10,2,0,0,0,1,1,0,1,1,9번
10,장진혁,한화,0.200,40,8,2,0,1,9,4,1,12,1,9번
12,정은원,한화,0.194,36,7,1,1,0,4,11,0,7,0,9번
13,황영묵,한화,0.167,12,2,0,0,0,1,2,0,0,0,9번
14,이재원,한화,0.143,7,1,1,0,0,0,1,0,4,0,9번
15,문현빈,한화,0.067,15,1,0,0,0,0,0,0,4,1,9번
16,김태연,한화,-,0,0,0,0,0,0,1,0,0,0,9번
16,임종찬,한화,0.000,12,0,0,0,0,0,2,1,5,0,9번
1,페라자,한화,0.348,155,54,13,0,12,33,24,1,40,3,상위(1~2번)
2,황영묵,한화,0.343,102,35,2,1,1,17,6,1,17,0,상위(1~2번)
3,김태연,한화,0.312,93,29,2,0,6,18,10,0,20,1,상위(1~2번)
4,문현빈,한화,0.286,42,12,2,0,1,10,4,0,6,5,상위(1~2번)
5,이원석,한화,0.277,65,18,2,1,0,5,10,0,12,2,상위(1~2번)
6,최인호,한화,0.258,128,33,7,1,0,6,19,3,21,2,상위(1~2번)
7,유로결,한화,0.25,4,1,0,0,0,0,1,0,1,0,상위(1~2번)
8,장진혁,한화,0.23,61,14,3,0,1,8,8,1,21,0,상위(1~2번)
9,이진영,한화,0.19,21,4,1,0,0,1,2,2,6,1,상위(1~2번)
10,하주석,한화,0.188,16,3,1,0,0,1,1,1,5,0,상위(1~2번)
11,안치홍,한화,0.105,19,2,0,0,1,2,2,0,5,0,상위(1~2번)
12,김강민,한화,0.095,21,2,0,0,1,4,5,0,5,0,상위(1~2번)
13,정은원,한화,0.053,19,1,0,0,1,2,2,0,5,0,상위(1~2번)
14,김인환,한화,0.0,1,0,0,0,0,0,0,0,0,0,상위(1~2번)
14,이도윤,한화,0.0,1,0,0,0,0,1,0,0,0,0,상위(1~2번)
14,이명기,한화,0.0,2,0,0,0,0,0,0,0,1,0,상위(1~2번)
14,이상혁,한화,0.0,1,0,0,0,0,0,0,0,0,0,상위(1~2번)
14,임종찬,한화,0.0,1,0,0,0,0,0,0,0,1,0,상위(1~2번)
1,정은원,한화,1.000,1,1,1,0,0,0,0,0,0,0,중심(3~5번)
2,문현빈,한화,0.600,10,6,1,1,0,3,2,0,2,0,중심(3~5번)
3,임종찬,한화,0.500,2,1,0,0,0,0,1,0,1,0,중심(3~5번)
4,김태연,한화,0.311,61,19,2,0,1,9,8,2,7,1,중심(3~5번)
5,안치홍,한화,0.309,291,90,11,0,8,39,34,5,45,5,중심(3~5번)
6,노시환,한화,0.267,337,90,12,1,18,60,32,4,81,5,중심(3~5번)
7,페라자,한화,0.256,125,32,8,0,5,20,13,0,32,1,중심(3~5번)
8,이도윤,한화,0.250,4,1,0,0,0,0,1,0,1,0,중심(3~5번)
9,채은성,한화,0.241,199,48,13,0,6,36,21,3,46,6,중심(3~5번)
10,황영묵,한화,0.214,14,3,1,0,0,1,3,0,3,0,중심(3~5번)
11,최인호,한화,0.200,5,1,1,0,0,1,1,0,0,0,중심(3~5번)
12,이원석,한화,0.167,6,1,0,0,0,1,0,0,2,1,중심(3~5번)
13,최재훈,한화,0.091,11,1,1,0,0,0,0,2,3,1,중심(3~5번)
14,김강민,한화,-,0,0,0,0,0,0,1,0,0,0,중심(3~5번)
14,박상언,한화,-,0,0,0,0,0,0,2,0,0,0,중심(3~5번)
14,장진혁,한화,-,0,0,0,0,0,0,1,0,0,0,중심(3~5번)
14,하주석,한화,0.000,5,0,0,0,0,0,0,0,2,0,중심(3~5번)
1,이상혁,한화,0.5,2,1,0,0,0,0,0,0,0,0,하위(6~9번)
1,페라자,한화,0.5,2,1,0,0,0,0,0,0,0,0,하위(6~9번)
3,이재원,한화,0.306,72,22,2,0,0,8,5,2,12,2,하위(6~9번)
4,안치홍,한화,0.303,33,10,2,0,1,5,0,0,5,0,하위(6~9번)
5,최인호,한화,0.3,50,15,3,1,1,10,3,0,9,1,하위(6~9번)
6,황영묵,한화,0.287,108,31,4,1,2,10,5,1,12,3,하위(6~9번)
7,김태연,한화,0.286,91,26,11,0,2,14,12,1,23,2,하위(6~9번)
7,박상언,한화,0.286,42,12,3,0,0,4,7,1,12,0,하위(6~9번)
9,최재훈,한화,0.283,166,47,8,0,1,19,24,15,31,6,하위(6~9번)
10,이원석,한화,0.278,18,5,1,0,0,3,1,0,9,0,하위(6~9번)
11,채은성,한화,0.275,69,19,2,0,3,10,2,1,7,0,하위(6~9번)
12,이도윤,한화,0.274,208,57,4,2,0,27,19,2,32,3,하위(6~9번)
13,김강민,한화,0.273,55,15,0,0,0,3,2,3,16,1,하위(6~9번)
14,하주석,한화,0.259,58,15,3,0,0,3,6,0,17,0,하위(6~9번)
15,장진혁,한화,0.242,66,16,2,0,2,10,6,1,17,1,하위(6~9번)
16,문현빈,한화,0.213,122,26,5,1,3,11,10,1,33,2,하위(6~9번)
17,이진영,한화,0.206,34,7,3,0,0,7,4,0,12,0,하위(6~9번)
18,정은원,한화,0.205,44,9,2,1,0,4,11,0,11,0,하위(6~9번)
19,김인환,한화,0.2,5,1,0,0,0,0,0,0,2,0,하위(6~9번)
19,유로결,한화,0.2,10,2,0,0,0,1,1,0,1,1,하위(6~9번)
21,임종찬,한화,0.148,54,8,3,2,0,7,5,1,17,2,하위(6~9번)
22,이명기,한화,0.0,5,0,0,0,0,1,0,0,2,0,하위(6~9번)
