순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,이도윤,한화,유격수,65,466.1,0.541,5.82
2,최재훈,한화,포수,70,500.0,0.438,4.72
3,최인호,한화,좌익수,60,383.2,0.274,2.94
4,이원석,한화,중견수,34,171.0,0.272,2.93
5,김강민,한화,중견수,31,153.1,0.198,2.13
6,이진영,한화,중견수,19,109.0,0.196,2.11
7,장진혁,한화,우익수,14,45.1,0.171,1.84
8,황영묵,한화,2루수,40,284.2,0.164,1.77
9,이재원,한화,포수,37,182.1,0.153,1.65
10,박상언,한화,포수,26,113.0,0.148,1.59
11,임종찬,한화,우익수,13,33.0,0.139,1.5
12,이원석,한화,좌익수,2,11.0,0.065,0.7
13,정은원,한화,좌익수,10,70.0,0.058,0.63
14,문현빈,한화,3루수,3,20.0,0.054,0.58
15,이도윤,한화,2루수,19,82.0,0.042,0.45
16,유로결,한화,우익수,1,2.0,0.028,0.3
17,장진혁,한화,중견수,28,190.0,0.015,0.16
18,정은원,한화,중견수,6,46.0,0.004,0.04
19,정은원,한화,2루수,4,31.0,-0.001,-0.01
20,안치홍,한화,2루수,6,45.0,-0.003,-0.03
20,문현빈,한화,유격수,1,2.0,-0.003,-0.03
22,황영묵,한화,유격수,32,201.0,-0.01,-0.11
23,유로결,한화,중견수,2,18.0,-0.011,-0.12
24,이상혁,한화,중견수,1,3.0,-0.02,-0.22
25,장진혁,한화,좌익수,16,80.0,-0.029,-0.31
26,유로결,한화,좌익수,2,11.0,-0.038,-0.41
27,채은성,한화,우익수,23,181.0,-0.054,-0.58
28,하주석,한화,유격수,22,127.0,-0.065,-0.7
29,김태연,한화,우익수,24,182.0,-0.071,-0.76
30,노시환,한화,3루수,82,720.0,-0.081,-0.87
31,김인환,한화,1루수,1,6.0,-0.089,-0.95
32,하주석,한화,3루수,8,52.1,-0.099,-1.07
33,이진영,한화,우익수,6,18.0,-0.107,-1.15
34,이원석,한화,우익수,9,27.0,-0.171,-1.84
35,페라자,한화,우익수,38,303.0,-0.191,-2.06
36,김태연,한화,2루수,6,30.2,-0.214,-2.3
37,임종찬,한화,중견수,16,105.0,-0.242,-2.61
38,페라자,한화,좌익수,38,237.2,-0.292,-3.14
39,채은성,한화,1루수,28,225.0,-0.36,-3.88
40,문현빈,한화,2루수,48,323.0,-0.434,-4.67
41,김태연,한화,1루수,40,282.1,-0.661,-7.12
42,안치홍,한화,1루수,34,283.0,-0.691,-7.43
52,박상원,한화,투수,33,30.2,nan,nan
52,이상혁,한화,좌익수,1,2.0,nan,nan
52,이명기,한화,좌익수,1,1.0,nan,nan
52,주현상,한화,투수,36,45.0,nan,nan
52,장규현,한화,포수,1,1.0,nan,nan
52,이도윤,한화,3루수,1,1.0,nan,nan
52,이명기,한화,중견수,1,1.0,nan,nan
52,이상혁,한화,우익수,4,5.0,nan,nan
52,황영묵,한화,3루수,3,3.0,nan,nan
