순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,이상혁,한화,0.333,15,3,3,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.666,0,0.0,0.5
2,페라자,한화,0.309,73,322,282,54,87,21,0,17,159,53,0,2,37,4,1,72,4,0.564,0.388,0.952,27,0.353,0.333
3,황영묵,한화,0.308,72,242,224,34,69,7,2,3,89,28,1,1,14,0,2,32,3,0.397,0.353,0.750,18,0.333,0.0
4,이재원,한화,0.306,38,81,72,4,22,2,0,0,24,8,1,1,5,1,2,12,2,0.333,0.363,0.696,5,0.364,0.0
5,김태연,한화,0.302,76,283,245,35,74,15,0,9,116,41,3,2,30,0,3,50,4,0.473,0.382,0.855,20,0.274,0.0
6,안치홍,한화,0.297,90,387,343,50,102,13,0,10,145,46,0,3,36,0,5,55,5,0.423,0.370,0.793,32,0.298,0.0
7,박상언,한화,0.286,27,52,42,4,12,3,0,0,15,4,0,0,9,0,1,12,0,0.357,0.423,0.780,2,0.364,0.25
8,이도윤,한화,0.272,84,241,213,29,58,4,2,0,66,28,3,3,20,0,2,33,3,0.310,0.336,0.646,15,0.333,0.4
9,최재훈,한화,0.271,71,226,177,25,48,9,0,1,60,19,4,4,24,0,17,34,7,0.339,0.401,0.740,10,0.24,1.0
10,이원석,한화,0.270,49,102,89,15,24,3,1,0,29,9,1,1,11,0,0,23,3,0.326,0.347,0.673,6,0.273,0.0
11,최인호,한화,0.268,75,215,183,30,49,11,2,1,67,17,4,2,23,0,3,30,3,0.366,0.355,0.721,8,0.297,0.294
12,노시환,한화,0.267,83,373,337,55,90,12,1,18,158,60,0,0,32,7,4,81,5,0.469,0.338,0.807,22,0.292,0.0
13,문현빈,한화,0.253,67,193,174,21,44,8,2,4,68,24,1,1,16,0,1,41,7,0.391,0.318,0.709,9,0.263,0.294
14,채은성,한화,0.250,72,297,268,30,67,15,0,9,109,46,0,2,23,1,4,53,6,0.407,0.316,0.723,19,0.265,0.0
15,장진혁,한화,0.236,47,147,127,29,30,5,0,3,44,18,2,1,15,0,2,38,1,0.346,0.324,0.670,5,0.286,0.0
16,하주석,한화,0.228,34,89,79,4,18,4,0,0,22,4,2,0,7,0,1,24,0,0.278,0.299,0.577,3,0.231,0.0
17,김강민,한화,0.224,41,87,76,5,17,0,0,1,20,7,0,0,8,0,3,21,1,0.263,0.322,0.585,4,0.2,0.182
18,유로결,한화,0.214,8,16,14,3,3,0,0,0,3,1,0,0,2,0,0,2,1,0.214,0.313,0.527,0,0.167,0.0
19,이진영,한화,0.200,23,63,55,9,11,4,0,0,15,8,0,0,6,0,2,18,1,0.273,0.302,0.575,3,0.294,0.5
20,정은원,한화,0.172,27,78,64,10,11,3,1,1,19,6,1,0,13,0,0,16,0,0.297,0.312,0.609,2,0.2,0.25
21,김인환,한화,0.167,5,6,6,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0.167,0.167,0.334,0,0.0,0.25
22,임종찬,한화,0.158,24,64,57,10,9,3,2,0,16,7,0,0,6,0,1,19,2,0.281,0.250,0.531,2,0.19,0.0
23,박상원,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,이명기,한화,0.000,4,8,7,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0.000,0.000,0.000,0,0.0,0.0
23,장규현,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,주현상,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
