순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,이상혁,한화,0.333,0,2,0,-,0,-,2.33,0.000,0.7,0.233
2,페라자,한화,0.309,38,62,63,0.98,3,0.51,3.96,0.255,57.8,0.316
3,황영묵,한화,0.308,12,75,49,1.53,4,0.44,3.69,0.089,29.1,0.258
4,이재원,한화,0.306,2,18,21,0.86,0,0.42,3.20,0.028,8.8,0.247
5,김태연,한화,0.302,24,59,64,0.92,2,0.60,3.91,0.171,43.5,0.29
6,안치홍,한화,0.297,23,85,104,0.82,6,0.65,3.89,0.125,54.2,0.272
7,박상언,한화,0.286,3,6,12,0.50,0,0.75,4.02,0.071,7.4,0.28
8,이도윤,한화,0.272,6,65,60,1.08,5,0.61,3.83,0.038,24.3,0.229
9,최재훈,한화,0.271,10,48,51,0.94,0,0.71,4.19,0.068,28.0,0.265
10,이원석,한화,0.270,4,22,21,1.05,0,0.48,3.81,0.056,10.6,0.238
11,최인호,한화,0.268,14,58,48,1.21,3,0.77,3.96,0.098,25.6,0.251
12,노시환,한화,0.267,31,75,91,0.82,4,0.40,3.90,0.202,52.7,0.269
13,문현빈,한화,0.253,14,46,44,1.05,2,0.39,3.77,0.138,19.3,0.241
14,채은성,한화,0.250,24,61,89,0.69,2,0.43,3.71,0.157,34.2,0.244
15,장진혁,한화,0.236,8,33,27,1.22,1,0.39,4.21,0.110,15.9,0.232
16,하주석,한화,0.228,4,20,17,1.18,0,0.29,3.49,0.051,6.5,0.204
17,김강민,한화,0.224,1,14,24,0.58,0,0.38,3.72,0.039,7.3,0.211
18,유로결,한화,0.214,0,5,4,1.25,0,1.00,3.69,0.000,0.5,0.194
19,이진영,한화,0.200,4,14,12,1.17,0,0.33,4.27,0.073,4.6,0.204
20,정은원,한화,0.172,5,22,15,1.47,0,0.81,4.37,0.125,7.6,0.215
21,김인환,한화,0.167,0,1,2,0.50,0,0.00,4.50,0.000,0.0,0.117
22,임종찬,한화,0.158,5,12,17,0.71,2,0.32,3.66,0.123,3.1,0.183
23,박상원,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
23,이명기,한화,0.000,0,2,2,1.00,0,0.00,3.63,0.000,-0.6,0.0
23,장규현,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
23,주현상,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
