순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,장진혁,한화,47,12,8,4,66.7,0,1
2,페라자,한화,73,11,7,4,63.6,5,0
3,이도윤,한화,84,8,5,3,62.5,2,0
4,노시환,한화,83,4,4,0,100,1,0
4,이원석,한화,49,5,4,1,80.0,2,0
6,김태연,한화,76,5,3,2,60.0,3,0
6,안치홍,한화,90,5,3,2,60.0,1,0
6,황영묵,한화,72,9,3,6,33.3,1,0
9,문현빈,한화,67,6,2,4,33.3,2,0
9,이상혁,한화,15,2,2,0,100,0,1
9,정은원,한화,27,2,2,0,100,1,0
9,최인호,한화,75,2,2,0,100,3,0
13,박상언,한화,27,1,1,0,100,0,0
13,채은성,한화,72,2,1,1,50.0,4,0
13,하주석,한화,34,3,1,2,33.3,2,0
16,김강민,한화,41,0,0,0,-,0,0
16,김인환,한화,5,0,0,0,-,0,0
16,박상원,한화,1,0,0,0,-,0,0
16,유로결,한화,8,1,0,1,0.0,0,1
16,이명기,한화,4,0,0,0,-,0,0
16,이재원,한화,38,0,0,0,-,2,0
16,이진영,한화,23,0,0,0,-,0,0
16,임종찬,한화,24,1,0,1,0.0,0,1
16,장규현,한화,1,0,0,0,-,0,0
16,주현상,한화,1,0,0,0,-,0,0
16,최재훈,한화,71,0,0,0,-,1,0
